Max Fitness,Average Fitness,Generation Number
0.01,0.40922412,0
0.01,0.2614931,1
0.01,0.34727666,2
0.01,0.39833856,3
0.01,0.27546483,4
0.01,0.33970085,5
0.01,0.4375287,6
0.01,0.2687869,7
0.01,0.47070253,8
0.013771244,0.501405,9
0.01,0.29728135,10
0.01,0.33237067,11
0.01,0.49702114,12
0.01,0.48002407,13
0.01,0.3440462,14
0.01,0.40571147,15
0.010906799,0.500595,16
0.011969374,0.51928586,17
0.010606777,0.25166652,18
0.011971122,0.45626286,19
0.010921081,0.49276805,20
0.018824892,0.44482833,21
0.014045603,0.41688836,22
0.01951664,0.41715446,23
0.016007429,0.47180453,24
0.013035006,0.6467696,25
0.01,0.60117775,26
0.011306579,0.5754666,27
0.015428744,0.5505756,28
0.018447319,0.32611537,29
0.01555924,0.3788674,30
0.011844345,0.5249442,31
0.010066484,0.41689622,32
0.012030075,0.408158,33
0.02865839,0.32673535,34
0.012022226,0.5583426,35
0.015093648,0.45824736,36
0.025244463,0.35393173,37
0.03154742,0.5086774,38
0.023805514,0.5498795,39
0.031082746,0.34729058,40
0.032979246,0.45951572,41
0.037149463,0.5125272,42
0.029130382,0.518473,43
0.04458112,0.5403221,44
0.0368891,0.57985854,45
0.04858625,0.65550524,46
0.027412204,0.4131373,47
0.046598688,0.3625097,48
0.03161993,0.51045936,49
0.022365356,0.3431982,50
0.032354243,0.44672608,51
0.033244584,0.35876524,52
