gen,max fit,avg fit
0,0.21147773,0.7033924
1,0.20915489,0.42401728
2,0.2723461,0.5822574
3,0.20945121,0.42020798
4,0.2990201,0.5177338
5,0.27286962,0.29651403
6,0.2126229,0.67589635
7,0.23035827,0.5252995
8,0.28505814,0.6177821
9,0.08009154,0.5704598
10,0.2509364,0.6247032
11,0.19590048,0.5485758
12,0.25268194,0.5113541
13,0.14410879,0.45589113
14,0.28918296,0.562378
15,0.08869069,0.5785047
16,0.2845998,0.52459335
17,0.19276865,0.46876755
18,0.13667008,0.511752
19,0.16646403,0.663661
20,0.17676775,0.500005
21,0.1905616,0.4854485
22,0.2913637,0.69322544
23,0.2619323,0.5895728
24,0.27052435,0.64588445
25,0.29344377,0.46539012
26,0.14982232,0.64698327
27,0.19612941,0.4483224
28,0.3449356,0.24434312
29,0.3959519,0.34125775
30,0.26905704,0.6712294
31,0.42441055,0.36447826
32,0.48320988,0.65060264
33,0.16593492,0.3793916
34,0.5982148,0.2666598
35,0.41615397,0.46997356
36,0.8926768,0.4537447
37,0.4053318,0.5026149
38,0.55763966,0.42001215
39,0.4851134,0.41460544
40,0.46880645,0.49703923
41,0.9004147,0.4179822
42,0.54520935,0.60789126
43,0.8659158,0.29623044
44,0.6071956,0.5371758
45,0.7561254,0.40347838
46,0.52184534,0.40201202
47,0.70825166,0.50835264
48,0.85698813,0.59014213
49,0.48829132,0.7002591
50,0.68500036,0.77586436
51,0.70052403,0.28809625
52,0.51626754,0.42057985
53,0.58438486,0.7332481
54,0.6565555,0.50781566
55,0.9294519,0.6516273
56,0.35608587,0.69960374
57,0.7063187,0.55037796
58,0.4845155,0.5875937
59,0.55630136,0.6963228
60,0.6032009,0.5194195
61,0.55409485,0.58092004
62,0.94316375,0.5562374
63,0.2628018,0.55312973
64,0.69496983,0.31210983
65,0.84480506,0.59872496
66,0.4886198,0.57990897
67,0.6723833,0.441086
68,0.75878197,0.5304695
69,0.6652652,0.2927305
70,0.7239004,0.46646446
71,1.0823689,0.37578163
72,1.118676,0.3236648
73,1.3481067,0.57553923
74,1.4270697,0.27323446
75,0.85331225,0.34401128
76,0.51956105,0.5343466
77,1.212036,0.38898683
78,1.0608279,0.49265718
79,1.3495957,0.5195812
80,1.421147,0.597047
81,1.422881,0.2806526
82,1.284435,0.52647084
83,1.1121318,0.7886558
84,1.0688789,0.6750349
