gen,max fit,avg fit
0,1.3413575,0.08021771
1,0.7494657,0.27819896
2,1.4445754,0.20002867
3,0.9696919,0.23426084
4,0.6232903,0.42129818
5,0.86889684,0.37560427
6,1.9307083,0.17110164
7,2.0561285,0.2619281
8,2.0789332,0.28324834
9,1.8773245,0.274405
10,2.7549908,0.32245812
11,3.1576722,0.27863118
12,2.9778275,0.34326833
13,2.9103036,0.39452058
14,3.5888662,0.34240118
15,2.2216208,0.39991364
16,2.808353,0.40079722
17,2.8413866,0.37806755
18,2.9051137,0.43403137
19,2.3032324,0.3691969
20,1.8606582,0.41271904
21,2.5799248,0.33061087
22,2.6163778,0.28434807
23,2.7280517,0.40206143
24,1.9488504,0.43009266
25,2.0774424,0.46772292
26,1.2226614,0.4522058
27,2.405693,0.33448717
28,3.0940084,0.47841808
29,2.2535057,0.32981673
30,2.1729198,0.3217672
31,1.943044,0.44735754
32,2.8014352,0.45408776
33,2.6379058,0.50520307
34,1.5199294,0.45309255
35,2.3439329,0.3979901
36,2.8500707,0.5065259
37,2.638962,0.3365683
38,2.7455611,0.5410036
39,2.4355714,0.55333287
40,3.0914156,0.28881502
41,2.4775224,0.3970408
42,2.0460198,0.37629217
43,2.869147,0.35598564
44,2.477334,0.40660682
45,2.2098832,0.34889096
46,3.0368161,0.50633544
47,2.906955,0.4273801
48,3.218923,0.25574705
49,2.709731,0.473799
50,2.8072095,0.4189068
51,2.3020182,0.42809194
52,2.3802984,0.49605927
53,1.96171,0.43892217
54,2.124454,0.46519735
55,2.024242,0.3529063
56,2.1326425,0.50962156
57,2.6231651,0.48360264
58,1.9819561,0.39875674
59,2.292624,0.34727573
60,2.5968006,0.41384456
61,3.0550463,0.43402526
62,2.7546015,0.40591657
63,2.6042123,0.3309854
64,3.297603,0.31487104
65,2.4310238,0.2991719
66,2.2503667,0.41435713
67,3.0218484,0.42255795
68,3.294307,0.3395275
69,2.2291324,0.4721109
70,2.4033165,0.3326553
71,3.0203927,0.40966767
72,2.1242816,0.5360754
73,2.3119104,0.4907297
74,2.021092,0.4240747
75,1.9164453,0.3615735
76,2.2354763,0.416865
77,3.0073998,0.35025507
78,1.8734374,0.38322097
79,2.1109712,0.37405828
80,2.289824,0.30211326
81,2.7107913,0.4028511
82,2.8467565,0.40140137
83,2.79446,0.4001542
84,3.252873,0.38684314
85,2.3803232,0.4538783
86,2.2976534,0.5277385
87,3.3516054,0.38794312
88,2.936077,0.4888916
89,3.0592933,0.53006244
90,2.3534226,0.44390634
91,2.3356016,0.25557968
92,2.8769484,0.17943844
93,2.7176185,0.38971737
94,2.5162406,0.45033473
95,3.0710838,0.3046586
96,3.112148,0.37006962
