gen,max fit,avg fit
0,0.870091,0.1910361
1,0.3867696,0.30488515
2,1.0483658,0.19710076
3,1.8597382,0.20615287
4,1.8680884,0.41547853
5,0.65686375,0.3467463
6,1.6266254,0.4627277
7,2.6629024,0.30680227
8,2.7228286,0.58016855
9,2.8125856,0.35155967
10,2.5620723,0.3918866
11,2.5377939,0.51249385
12,2.811433,0.5941295
13,2.699523,0.51639247
14,1.8557922,0.58176535
15,1.7305994,0.480776
16,2.3894358,0.5857042
17,2.342951,0.42423373
18,3.1460004,0.3390564
19,1.2871253,0.429416
20,2.5718207,0.5031133
21,1.8104968,0.5093883
22,2.341688,0.41453663
23,3.76876,0.39104953
24,4.2385287,0.59294367
25,2.2598784,0.55485016
26,3.416848,0.42557824
27,2.7768576,0.41079226
28,3.123742,0.30003858
29,3.6313365,0.45522076
30,4.1266336,0.3980011
31,3.467833,0.3169447
32,4.344599,0.472015
33,2.0071633,0.4511028
34,1.552676,0.34749663
35,3.4296489,0.43130454
36,2.2382815,0.41284734
37,4.563547,0.3655995
38,3.498702,0.6515045
39,2.903815,0.37403423
40,3.1315205,0.36982518
41,2.9019628,0.45356953
42,2.6603155,0.37938884
43,3.175735,0.35351205
44,2.9582179,0.4951616
45,3.1762207,0.27040377
46,1.4048411,0.48562708
47,1.4982537,0.42759523
48,3.6132915,0.2989847
49,3.352055,0.3515474
50,3.16835,0.28510326
51,2.4251747,0.62843657
52,2.9437814,0.49209023
53,2.6405687,0.4827956
54,3.9989426,0.5042789
55,3.987991,0.48772085
56,3.2085147,0.72931
57,2.7038774,0.62615687
58,2.822651,0.4019303
59,2.5660026,0.65733874
60,3.242216,0.642621
61,2.410567,0.38562107
62,4.305312,0.4965234
63,2.744404,0.4306712
64,2.5406234,0.5620246
65,3.0356874,0.468342
66,3.4837399,0.51462597
67,2.096384,0.63313395
68,4.342343,0.26595443
69,0.9767152,0.5429961
70,3.3085518,0.37584305
71,3.347745,0.62212306
72,3.238228,0.4607874
73,2.8966148,0.6988333
74,4.2159467,0.4461129
75,1.3671969,0.615678
76,2.3139243,0.4983101
77,1.441701,0.28110448
78,3.63035,0.32846183
79,4.727275,0.51362073
80,1.2374346,0.51396513
81,3.251899,0.44793418
82,2.68704,0.5790986
83,2.6300082,0.5833553
84,2.7855375,0.60712546
