Max Fitness,Average Fitness,Generation Number
716214.25,0.68310714,0
733125.9,0.67167115,1
861896.94,0.6888932,2
794757.3,0.5849856,3
671124.3,0.71104646,4
735883.06,0.7119622,5
753703.56,0.7383805,6
702471.1,0.91028005,7
806301.9,0.70137733,8
861152.0,0.6626098,9
785430.4,0.8114769,10
773771.56,0.6805423,11
706788.0,0.7766182,12
822557.7,0.67320895,13
714409.7,0.77770525,14
859633.94,0.6007528,15
809735.56,0.6932683,16
747946.44,0.6900487,17
797929.5,0.7249036,18
794856.56,0.7330203,19
775333.8,0.6689598,20
784837.06,0.6942615,21
865808.25,0.6549802,22
754181.4,0.48157457,23
788070.25,0.77529395,24
860851.94,0.6825605,25
740360.06,0.7589327,26
796134.44,0.66737884,27
763108.7,0.74677575,28
740877.4,0.7471489,29
784594.2,0.7421121,30
840371.5,0.6895657,31
857150.8,0.63324517,32
811881.94,0.74593437,33
806835.7,0.7733754,34
763859.6,0.69065976,35
789553.06,0.6583908,36
839423.0,0.66741705,37
807013.56,0.6737749,38
777253.6,0.6986842,39
770489.5,0.6307016,40
783884.9,0.6866311,41
823287.6,0.6600933,42
881206.9,0.63181394,43
896949.7,0.6462651,44
748369.25,0.7075083,45
762677.7,0.6752933,46
845117.75,0.6924579,47
813021.3,0.6480777,48
757791.94,0.68790483,49
810973.9,0.62892294,50
790491.2,0.66067207,51
880919.3,0.68311286,52
791086.56,0.6535029,53
801959.8,0.69547373,54
807997.3,0.6979351,55
894844.56,0.6244097,56
810005.75,0.6642854,57
758438.56,0.67187476,58
819375.7,0.7363309,59
730747.7,0.68874514,60
780804.94,0.7352841,61
904647.06,0.60034895,62
843600.6,0.7141219,63
797190.44,0.6386289,64
825969.8,0.6017865,65
778656.8,0.69881433,66
864072.44,0.6557381,67
828810.5,0.7140614,68
761889.3,0.70935297,69
807663.0,0.6981896,70
832163.2,0.6568333,71
849224.9,0.5409928,72
855474.56,0.6836248,73
768025.3,0.66399074,74
735686.6,0.6962348,75
685735.2,0.6821161,76
998770.4,0.6135258,77
757624.25,0.74661875,78
781989.7,0.731519,79
923593.2,0.6705573,80
827421.75,0.5983112,81
873636.75,0.6364014,82
787838.44,0.6141571,83
781562.56,0.7168781,84
745174.7,0.68384314,85
783408.0,0.7228513,86
808127.75,0.6814599,87
848194.7,0.73118806,88
831428.9,0.5755147,89
835415.75,0.57074946,90
889374.44,0.64548117,91
657441.44,0.7943213,92
766715.4,0.7022217,93
709777.9,0.775983,94
782402.6,0.64256215,95
778437.6,0.7265071,96
770752.25,0.6578244,97
716499.6,0.6940675,98
714974.1,0.7423982,99
721394.56,0.77725273,100
752059.2,0.7695176,101
861421.75,0.4268239,102
730161.8,0.6836858,103
747504.06,0.5479267,104
772753.56,0.6641827,105
785875.6,0.75479597,106
778054.94,0.68430513,107
815002.9,0.71764725,108
716685.5,0.7823416,109
752928.8,0.5848726,110
789971.75,0.7284296,111
764106.06,0.70992506,112
844575.1,0.60607517,113
715346.6,0.6313617,114
715969.8,0.7278587,115
736235.44,0.7501463,116
735531.2,0.665316,117
740062.44,0.6596875,118
780474.4,0.5783781,119
620756.9,0.68858224,120
814680.44,0.6468043,121
768483.56,0.65940857,122
785953.6,0.70790815,123
770299.7,0.7041973,124
913356.6,0.6357597,125
805171.94,0.62719274,126
941966.6,0.63199997,127
728551.6,0.7057861,128
814606.2,0.60516214,129
824076.9,0.6578552,130
816903.56,0.67225564,131
843823.0,0.54586977,132
824825.8,0.633602,133
858066.3,0.73677444,134
739379.9,0.7002048,135
800205.44,0.61401105,136
842080.06,0.66383547,137
875417.75,0.602919,138
728922.94,0.71499777,139
764635.1,0.6493993,140
761463.44,0.72207,141
748687.7,0.73351395,142
920772.25,0.61460245,143
858755.56,0.68125814,144
834507.25,0.67827797,145
853218.8,0.6098211,146
