gen,max fit,avg fit
0,0.8781502,0.12921022
1,0.5588713,0.20863526
2,0.91208893,0.21884482
3,2.8016632,0.09980869
4,1.71798,0.17656298
5,1.6545278,0.21382566
6,2.1116278,0.31785393
7,2.998479,0.306354
8,2.049513,0.39440182
9,3.236497,0.38160816
10,2.5930274,0.4486719
11,2.6907237,0.4613935
12,3.073081,0.43086636
13,2.827786,0.5193989
14,2.43833,0.44409958
15,1.8565046,0.44388536
16,1.9996934,0.35149235
17,2.5143723,0.3519836
18,2.8146849,0.44573128
19,2.7821903,0.3410112
20,3.4760077,0.39564687
21,3.2964635,0.4073539
22,2.4982448,0.43424666
23,2.8637667,0.34859693
24,1.9817048,0.37681004
25,2.5319355,0.32381648
26,2.5744023,0.33495456
27,2.0079541,0.4650281
28,2.8529854,0.40144092
29,2.8496444,0.307975
30,1.8211553,0.3209614
31,2.2671762,0.43035504
32,3.1592896,0.53302336
33,3.2760675,0.40032262
34,3.036342,0.4633125
35,3.0176742,0.30898985
36,1.9454991,0.4603586
37,2.38332,0.50981855
38,3.0743313,0.5113816
39,1.9968965,0.43565586
40,2.5114048,0.4090944
41,2.9258788,0.3798911
42,1.988266,0.4688403
43,3.1258764,0.31452453
44,3.3349853,0.5118866
45,3.0429125,0.33019164
46,2.8387659,0.35869226
47,2.0078688,0.25174892
48,3.2790785,0.40975463
49,3.065691,0.50817376
50,2.7671022,0.4205465
51,3.1716547,0.5141563
52,3.243309,0.3477744
53,2.7141623,0.27703598
54,2.9062195,0.35137737
55,3.4138556,0.464554
56,3.0089915,0.428541
57,1.9073468,0.45714545
58,1.9795806,0.44895208
59,1.9325975,0.48155323
60,2.1730206,0.2798894
61,2.9893503,0.5060932
62,2.0341065,0.33945182
63,2.1552963,0.49860945
64,3.152289,0.41941017
65,2.8794677,0.37746158
66,3.309219,0.32894802
67,2.8824127,0.42697352
68,1.9449985,0.4491156
69,2.703545,0.31505358
70,2.9521048,0.3671566
71,1.6650977,0.36862868
72,2.734927,0.40670386
73,3.2774067,0.43021613
74,3.4933212,0.39564282
75,2.6623294,0.46968243
76,3.051582,0.32762784
77,2.1380405,0.4559806
78,3.013568,0.2927251
79,2.6879005,0.3367643
80,2.7662938,0.40181136
81,2.7037885,0.45369098
82,2.9518087,0.40346745
83,2.292119,0.32616657
84,2.4661458,0.4258437
85,2.9883819,0.38717288
86,2.4195278,0.40003812
87,2.9017353,0.5646513
88,2.1385622,0.4366093
89,2.0106342,0.40281087
90,2.013792,0.38647473
91,3.340316,0.6231784
92,2.3526952,0.52108085
