Max Fitness,Average Fitness,Generation Number
844834.0,0.57484716,0
984653.44,0.5679535,1
1001651.5,0.49289623,2
747770.5,0.680614,3
790252.8,0.7302501,4
799650.0,0.7123238,5
709010.9,0.69702065,6
834011.2,0.70077056,7
793311.75,0.7182958,8
759170.25,0.8246987,9
767999.7,0.66508406,10
723670.4,0.8224787,11
824000.25,0.61122084,12
699954.9,0.68835235,13
721046.4,0.7534825,14
789071.94,0.8043581,15
707776.75,0.77821577,16
683304.8,0.6342738,17
722932.7,0.7747775,18
719431.4,0.8172146,19
742093.7,0.62751585,20
870852.0,0.7467317,21
774218.2,0.6344478,22
708816.8,0.79218215,23
688455.94,0.7393328,24
705567.3,0.7923735,25
746578.8,0.7294007,26
751551.94,0.7810909,27
675737.06,0.7506953,28
634309.6,0.46485767,29
811453.0,0.7690643,30
715127.2,0.7369236,31
866879.3,0.6603102,32
689462.25,0.7553228,33
687537.44,0.76533127,34
708668.5,0.7662323,35
806195.7,0.64521486,36
806036.2,0.70850044,37
845074.8,0.69216377,38
733667.7,0.72508615,39
769603.9,0.80732775,40
792810.1,0.66098267,41
819608.25,0.72149014,42
762808.94,0.7144046,43
880177.7,0.6676506,44
875880.8,0.6753535,45
840269.3,0.6850485,46
754984.7,0.6977381,47
861239.8,0.6618871,48
740862.25,0.7231962,49
748006.3,0.78606087,50
887052.94,0.6005558,51
857918.5,0.5845417,52
765322.2,0.68460363,53
819084.7,0.723083,54
734340.25,0.79304886,55
813164.9,0.6717601,56
744128.9,0.6825647,57
797290.5,0.7633676,58
764728.25,0.6854142,59
754929.2,0.6860817,60
690258.9,0.76607794,61
757840.3,0.7718072,62
843507.75,0.59165186,63
733510.0,0.71851087,64
678272.7,0.7485768,65
903995.06,0.7254699,66
794464.5,0.71200484,67
815110.06,0.6992102,68
842210.25,0.5843693,69
806437.56,0.6853463,70
752232.6,0.7531221,71
702079.75,0.7809172,72
788116.8,0.7061308,73
706294.06,0.7500422,74
758141.9,0.6955973,75
665980.4,0.76709384,76
862023.5,0.6197857,77
911512.1,0.57152975,78
784352.2,0.54430246,79
715854.1,0.7946371,80
710631.75,0.8036615,81
779039.5,0.7301237,82
856899.4,0.7414509,83
782772.94,0.81060946,84
742543.0,0.79316384,85
677348.5,0.7353579,86
825847.8,0.7230827,87
696606.0,0.80538476,88
722177.3,0.48504308,89
728847.4,0.7899077,90
806845.0,0.67352945,91
808850.6,0.71509033,92
691846.4,0.7772601,93
727114.9,0.79199255,94
737200.94,0.61465365,95
764789.75,0.6128301,96
753316.44,0.7141314,97
729537.06,0.6835924,98
676319.75,0.7725979,99
766321.75,0.6948626,100
669550.94,0.66930044,101
797857.6,0.6265597,102
854011.7,0.6336875,103
868092.44,0.6807827,104
763364.6,0.754586,105
766386.2,0.7296571,106
795226.1,0.65821487,107
699342.9,0.68418485,108
843639.0,0.67624056,109
804769.5,0.74677736,110
850848.25,0.6773208,111
824767.8,0.71706283,112
788281.3,0.6773766,113
869076.44,0.59529895,114
862802.4,0.7118565,115
890442.56,0.6610843,116
828702.75,0.6163394,117
832411.6,0.7232494,118
737359.94,0.6625179,119
856077.7,0.7013078,120
868477.1,0.640344,121
831413.6,0.6491808,122
799559.1,0.7610501,123
822778.6,0.64731336,124
793333.7,0.7791044,125
814710.9,0.63626224,126
795982.7,0.7226273,127
757152.7,0.6742388,128
694319.06,0.6489931,129
751172.9,0.64459944,130
923911.75,0.6508269,131
740904.5,0.57728,132
764993.44,0.6462734,133
740223.4,0.6286316,134
762099.06,0.69021416,135
691514.44,0.73894125,136
636384.56,0.7672331,137
690494.2,0.6816897,138
776109.8,0.6194785,139
709959.75,0.7360259,140
838075.0,0.63647693,141
750210.94,0.6243028,142
809929.3,0.6210521,143
734754.25,0.730767,144
940244.0,0.56777537,145
725097.56,0.81868446,146
831762.5,0.7203175,147
834515.5,0.61714476,148
855780.8,0.78767973,149
691694.94,0.63234496,150
786985.25,0.6755911,151
734975.44,0.49278694,152
785721.25,0.7200731,153
900960.25,0.70467114,154
782017.5,0.7911737,155
767245.94,0.65308183,156
762175.25,0.70808405,157
801821.75,0.7404245,158
790596.75,0.7262895,159
819040.5,0.8116261,160
779772.6,0.60907245,161
716899.7,0.77511597,162
709200.5,0.7446291,163
783616.5,0.7698071,164
732361.94,0.7459044,165
677209.56,0.8099216,166
708170.2,0.63591975,167
748455.1,0.7034634,168
