Max Fitness,Generation Number
0.0,0
2.7152717,1
2.1855936,2
2.3607898,3
1.4938881,4
1.2051203,5
2.3529568,6
1.7644529,7
0.94321966,8
0.42152882,9
0.83570623,10
0.5154946,11
6.1873074,12
0.45937955,13
0.5401373,14
0.39749435,15
0.6919873,16
1.2202562,17
1.3698297,18
0.81674033,19
0.7657893,20
1.818852,21
2.0468693,22
1.4622011,23
2.0820332,24
2.575365,25
6.248132,26
2.305429,27
1.6375449,28
1.1965073,29
3.512292,30
1.379491,31
3.5869436,32
2.4655113,33
1.1708708,34
1.6891744,35
