Max Fitness,Average Fitness,Generation Number
1.9495763,0.1855616,0
0.9928994,0.33616832,1
1.5005152,0.48518798,2
1.4690381,0.727203,3
1.2841944,0.8793226,4
0.7834038,0.8366242,5
1.2768506,0.7532046,6
1.2025388,0.49265537,7
0.61969435,0.6801768,8
0.43340215,0.614904,9
0.17241365,0.26569766,10
1.570236,0.78897333,11
1.3829616,0.3402361,12
1.6712838,0.392873,13
0.9447785,0.55267674,14
1.7052246,0.17108917,15
0.6353521,0.5367787,16
1.4199634,0.7382289,17
1.5603639,0.48182243,18
0.58964944,0.35307884,19
1.429563,0.1591291,20
1.0634847,0.2939882,21
1.7834527,0.4658273,22
1.4715484,0.6647917,23
1.5898474,0.31681588,24
1.6587205,0.24583481,25
1.5242085,0.28748998,26
1.0127987,0.35472092,27
1.4245845,0.4223738,28
1.3059328,0.35333106,29
1.5919378,0.54885036,30
1.1112263,0.6550235,31
1.5105157,0.4844571,32
1.6369058,0.38038906,33
0.9424341,0.34531462,34
1.1797289,0.36497468,35
1.0444074,0.6920171,36
1.0864778,0.4882755,37
1.2423733,0.42216823,38
0.92301697,0.2952659,39
1.821084,0.53937364,40
1.0948681,0.63022465,41
0.9350079,0.31870145,42
1.4363745,0.58229285,43
2.0060658,0.27384746,44
1.8027419,0.27211645,45
1.9806824,0.33070862,46
3.9031858,0.26634824,47
4.3783407,0.17264128,48
3.6354153,0.30333468,49
3.9948647,0.38091174,50
5.652446,0.48247927,51
5.9752393,0.34504247,52
4.982558,0.48601997,53
5.09821,0.53757006,54
3.8662403,0.6237527,55
3.4113433,0.6689579,56
5.0330863,0.55516905,57
6.475833,0.6699243,58
2.916249,0.496922,59
5.82617,0.5310375,60
5.0556674,0.42390928,61
5.178745,0.3203607,62
5.3131666,0.3170642,63
3.8888495,0.69582933,64
3.127252,0.59676635,65
4.7571144,0.6856578,66
2.5349927,0.57752246,67
1.9726341,0.22152048,68
5.0208297,0.3461248,69
4.462117,0.21734849,70
5.898745,0.47393167,71
5.4694667,0.5052746,72
4.622486,0.39204907,73
4.099534,0.5004447,74
3.6970716,0.41567507,75
6.277255,0.39233172,76
5.35309,0.3152972,77
3.9083655,0.37081328,78
5.529961,0.597112,79
5.6657624,0.48103604,80
6.434699,0.47214082,81
3.5873094,0.48269436,82
4.8389473,0.4312626,83
5.72672,0.4886173,84
4.9642687,0.26586837,85
5.307172,0.45329943,86
5.3191876,0.30165514,87
5.6633887,0.53594387,88
5.494229,0.5737808,89
3.823956,0.53175193,90
6.2057614,0.50020194,91
6.234035,0.6038591,92
4.20226,0.56270754,93
3.3382285,0.73255926,94
4.3829093,0.22834772,95
4.840578,0.41731244,96
5.731994,0.5313588,97
4.0061865,0.5166952,98
3.8549051,0.33364543,99
3.349912,0.29810587,100
5.7225566,0.39569673,101
3.207105,0.39407894,102
5.239527,0.57189804,103
6.234726,0.32580644,104
4.460723,0.5091919,105
4.1362667,0.6113505,106
6.8113203,0.5063634,107
5.841978,0.45279717,108
5.976301,0.53890383,109
3.6279004,0.5335977,110
5.0027013,0.3777491,111
5.1071854,0.5249012,112
6.2958894,0.3805385,113
5.016879,0.6000394,114
5.1123223,0.46091166,115
2.2999532,0.4630764,116
6.351858,0.502507,117
5.8365674,0.29385075,118
5.6560984,0.57083374,119
5.1700315,0.40981805,120
4.3727813,0.5541963,121
2.4653406,0.34951228,122
3.4076574,0.5227426,123
3.9915478,0.3769866,124
5.32963,0.29798487,125
3.180498,0.69096017,126
3.5201714,0.2674511,127
4.021318,0.37943754,128
3.0279508,0.44257313,129
2.8586974,0.46595877,130
5.957162,0.61669743,131
5.7472315,0.49798778,132
3.5884104,0.4639021,133
7.2064962,0.38907945,134
3.3468184,0.59890723,135
6.501044,0.48415583,136
5.030485,0.685276,137
4.2129884,0.5867508,138
5.1988435,0.50432324,139
3.9778502,0.45380977,140
6.1687207,0.5540523,141
5.979744,0.55745846,142
5.489532,0.52596676,143
4.239125,0.38666892,144
3.6975808,0.45956683,145
