Max Fitness,Average Fitness,Generation Number
0.15011258,0.2653343,0
0.15011258,0.349893,1
0.15011258,0.20527934,2
0.15011258,0.3612349,3
0.15011258,0.6412706,4
0.15011258,0.42196012,5
0.2503129,0.45576775,6
0.2503129,0.47536546,7
0.2503129,0.4365803,8
0.2503129,0.591541,9
0.2503129,0.61297643,10
0.2503129,0.54540175,11
0.2503129,0.4368187,12
0.2503129,0.52825654,13
0.2503129,0.5422398,14
0.2503129,0.66025263,15
0.2503129,0.67746276,16
0.2503129,0.56714594,17
0.2503129,0.72431076,18
0.2503129,0.7775099,19
0.5012531,0.30083454,20
0.5012531,0.5083306,21
0.5012531,0.40412578,22
0.5012531,0.5178293,23
0.5012531,0.40852627,24
0.5012531,0.73619074,25
0.5012531,0.54950994,26
0.5012531,0.56715655,27
0.5012531,0.64918,28
0.5012531,0.4797686,29
0.5012531,0.6056201,30
0.5012531,0.58947575,31
0.5012531,0.7833217,32
0.5012531,0.8159675,33
0.5012531,0.6279964,34
0.5012531,0.6113479,35
0.5012531,0.561963,36
0.5012531,0.8743174,37
0.5012531,0.6519481,38
0.5012531,0.7609311,39
0.5012531,0.6743273,40
0.5012531,0.743105,41
0.5012531,0.29876846,42
0.5012531,0.7043245,43
0.5012531,0.77028716,44
0.5012531,0.83114046,45
0.5012531,0.44191226,46
0.5012531,0.46189854,47
0.5012531,0.28116348,48
0.5012531,0.4091791,49
0.5012531,0.86998004,50
0.7024586,0.55201113,51
0.7024586,0.5460014,52
0.7024586,0.5768491,53
0.7024586,0.6510574,54
0.7024586,0.5936514,55
0.7024586,0.42076918,56
0.7024586,0.5209451,57
0.7024586,0.5960442,58
0.7024586,0.4212521,59
0.7024586,0.4415234,60
0.7024586,0.56206465,61
0.7024586,0.4236001,62
0.7024586,0.593466,63
0.7024586,0.5163036,64
0.7024586,0.6408015,65
0.7024586,0.5908548,66
0.7024586,0.6072295,67
0.7024586,0.7070228,68
0.7024586,0.67830163,69
0.7024586,0.39153755,70
0.7024586,0.5983754,71
0.7024586,0.7154271,72
0.7024586,0.65759826,73
0.7024586,0.49880928,74
0.7024586,0.77984077,75
0.7024586,0.7738361,76
0.7024586,0.62095714,77
0.7024586,0.7526547,78
0.7024586,0.75379175,79
