gen,max fit,avg fit,med fit
0,802.67114,0.37864164,0.27925634384155273
1,1217.0393,0.32796258,0.30279698967933655
2,833.4596,0.6559104,0.7241550981998444
3,1210.0684,0.6160596,0.6495217680931091
4,1236.6404,0.50637084,0.48905669152736664
5,940.0648,0.5242466,0.4121246784925461
6,1285.6316,0.4556826,0.46271704137325287
7,905.44354,0.46973073,0.4612695276737213
8,1287.7544,0.50034136,0.42159271240234375
9,692.85333,0.59436667,0.6504795253276825
10,1165.2942,0.45884833,0.40381816029548645
11,985.5043,0.39876646,0.3820056617259979
