Max Fitness,Average Fitness,Generation Number
3.3989654,0.15176219,0
1.1001025,0.33808404,1
2.125868,0.19134274,2
2.3919754,0.13201246,3
3.5696821,0.13217384,4
1.8698039,0.19166622,5
1.9266088,0.21035868,6
2.001904,0.21085894,7
3.7131844,0.12762436,8
12.581563,0.045180477,9
1.4176086,0.20347595,10
2.523766,0.17598403,11
1.871341,0.17539793,12
2.6700916,0.12162037,13
1.1000757,0.33087784,14
3.345834,0.12825364,15
1.6653452,0.20381506,16
2.590426,0.18746108,17
1.6689138,0.26615623,18
1.3451102,0.26305908,19
2.32807,0.17511027,20
1.4260851,0.22663213,21
2.0425622,0.17678218,22
1.2211754,0.23583807,23
1.1371913,0.29575434,24
2.2412567,0.18032917,25
2.430317,0.17487982,26
1.107129,0.3231536,27
1.2358067,0.2760878,28
1.2330763,0.22185831,29
6.67424,0.07023592,30
3.4225838,0.10600523,31
3.0276833,0.14153567,32
0.84445274,0.34263265,33
2.7468202,0.12725778,34
1.8689945,0.18460579,35
3.3243778,0.14564984,36
7.834934,0.07196655,37
