Max Fitness,Average Fitness,Generation Number
3.8721368,0.14840464,0
6.291533,0.41785714,1
4.1488647,0.5293064,2
6.1274276,0.55325586,3
5.457945,0.5498532,4
7.136673,0.517067,5
5.726284,0.5437191,6
6.290616,0.472911,7
5.9277153,0.5061254,8
4.3371186,0.57980263,9
6.834153,0.5213133,10
7.661874,0.58425546,11
5.7849793,0.44691396,12
5.4725595,0.5097509,13
6.1267924,0.43872428,14
7.3041224,0.47973624,15
7.210308,0.45648614,16
6.130606,0.49438956,17
8.180134,0.5130225,18
6.8335977,0.50622904,19
5.539888,0.5380726,20
5.887376,0.53191394,21
7.4512258,0.51187724,22
8.133478,0.5315239,23
5.2462993,0.49255925,24
6.188916,0.51423246,25
5.9853396,0.5362312,26
6.4504676,0.5412078,27
4.4980125,0.5527186,28
5.8047476,0.59187233,29
5.8709946,0.5559866,30
4.562213,0.5582655,31
8.049921,0.48966786,32
5.357396,0.58073515,33
8.124949,0.557579,34
7.339829,0.4755944,35
5.6092215,0.52350855,36
6.537739,0.49731055,37
8.257377,0.47227407,38
