Max Fitness,Average Fitness,Generation Number
691789.25,0.84809196,0
885338.0,0.54910314,1
803020.94,0.6585447,2
741283.25,0.6937796,3
780008.56,0.7052686,4
761510.56,0.6829911,5
831059.1,0.63882613,6
707426.6,0.7292034,7
780734.4,0.6861068,8
835567.4,0.6633416,9
862391.5,0.63749945,10
883442.44,0.655938,11
761150.44,0.69234854,12
865755.1,0.68150705,13
790007.06,0.6041098,14
718647.25,0.8209716,15
880826.1,0.6865992,16
902129.25,0.6539792,17
772717.0,0.721404,18
871042.9,0.64409935,19
751410.44,0.7303631,20
784744.75,0.6653,21
914187.3,0.6087872,22
764301.6,0.7303865,23
855271.94,0.7186332,24
735940.2,0.7430359,25
