Max Fitness,Average Fitness,Generation Number
0.7298014,0.58453333,0
0.6962868,0.57214844,1
0.7198649,0.51426446,2
0.75762314,0.44694138,3
0.73086375,0.45284548,4
0.7921029,0.5775358,5
0.79267496,0.50277734,6
0.8084043,0.5063369,7
0.5682681,0.5886715,8
0.62884754,0.6283119,9
0.80911565,0.6830002,10
0.70194393,0.52912545,11
0.56915486,0.461295,12
0.6974641,0.6174736,13
0.6314721,0.55787724,14
0.6771617,0.37538445,15
0.6970564,0.54982173,16
0.8084375,0.702935,17
0.75631106,0.4980579,18
0.80603856,0.49452344,19
0.9034741,0.48364425,20
0.58138037,0.5296525,21
0.5992358,0.55744815,22
0.54649913,0.6532489,23
0.6171204,0.65622634,24
0.84585506,0.53572583,25
0.77154535,0.4834204,26
0.7770786,0.56363124,27
0.7180018,0.45638984,28
0.80789834,0.54668456,29
0.67073745,0.4892502,30
0.8319832,0.5420169,31
0.47816977,0.6904213,32
0.5914747,0.6072879,33
0.58926755,0.54301935,34
0.61444056,0.60241747,35
0.644743,0.5722768,36
0.8141039,0.54506487,37
0.62138873,0.61063904,38
0.6481156,0.4965998,39
0.6088604,0.5013259,40
0.85105926,0.5760767,41
0.7533736,0.50445765,42
