Max Fitness,Average Fitness,Generation Number
1389449.6,0.75289404,0
1379076.8,0.72178024,1
1458442.6,0.7624465,2
1429137.2,0.7894693,3
1540960.5,0.6861715,4
1550976.6,0.7046007,5
1425037.9,0.7517931,6
1301925.1,0.7875503,7
1385714.1,0.72847617,8
1418054.5,0.7126644,9
1530658.9,0.6893484,10
1385578.9,0.7059578,11
1438093.4,0.7262635,12
1454030.5,0.78286695,13
1762627.1,0.55793506,14
1708502.8,0.6372606,15
1486306.6,0.7072367,16
1369933.5,0.79235166,17
1421617.9,0.71819323,18
1430532.9,0.8074504,19
1508639.5,0.73724437,20
1475334.6,0.76475817,21
1570663.1,0.7701444,22
1457138.1,0.5961388,23
1382393.4,0.69812906,24
1446340.1,0.6980812,25
1471929.6,0.7312471,26
1547840.4,0.7071073,27
1507547.1,0.6892719,28
1552694.9,0.68861765,29
1448252.8,0.74170715,30
1474912.9,0.65787244,31
1455886.9,0.7270725,32
1414709.5,0.71421903,33
1674492.1,0.6760462,34
1632565.8,0.62833107,35
1620170.2,0.66384286,36
1497671.6,0.6911872,37
1555551.4,0.6623916,38
1487961.0,0.7336823,39
1531384.1,0.6349245,40
1788508.6,0.6705256,41
1497565.1,0.76398826,42
1458058.4,0.7669002,43
1503962.8,0.64290756,44
1325699.1,0.7736588,45
1451515.0,0.7384787,46
1547721.2,0.74883455,47
1348844.0,0.867393,48
1474621.1,0.7421183,49
1393421.0,0.6327073,50
1571343.9,0.7000823,51
1385931.1,0.7624243,52
1578676.8,0.709647,53
1372985.8,0.6519114,54
1432060.9,0.8211482,55
1525593.0,0.78908557,56
1206390.4,0.7776723,57
1345881.4,0.74685514,58
1459730.6,0.7655226,59
1505436.4,0.66225046,60
1338353.2,0.7367981,61
1365963.4,0.7920159,62
1423530.2,0.76960063,63
1354801.8,0.7694242,64
1454202.5,0.74112916,65
1753166.6,0.62608224,66
1575449.4,0.757427,67
1283760.5,0.7130096,68
1365450.6,0.8045094,69
1413994.2,0.7812614,70
1394326.5,0.7815555,71
1364073.4,0.7727179,72
1456517.4,0.7586684,73
1421939.5,0.76658595,74
1364432.8,0.74203545,75
1446381.2,0.6817894,76
1455591.0,0.7098016,77
1174378.1,0.77079654,78
1528737.5,0.6571518,79
1490627.6,0.64331526,80
1356781.9,0.7635335,81
1468567.8,0.8067804,82
1358468.0,0.82832456,83
1539795.6,0.70170134,84
1396383.4,0.62503344,85
1303962.1,0.82931435,86
1588303.6,0.6716132,87
1328351.5,0.73549986,88
1469686.5,0.6720501,89
1342487.1,0.6057097,90
1341227.6,0.75501406,91
1617508.1,0.7182603,92
1567982.0,0.756584,93
1438152.2,0.78681153,94
1436397.2,0.7316601,95
1335157.2,0.76732713,96
1498561.4,0.68818164,97
1368032.8,0.74640167,98
1633936.1,0.7210547,99
1257147.2,0.7350722,100
1570507.4,0.7704901,101
1377575.8,0.7846511,102
1478150.9,0.77886385,103
1282489.8,0.75028044,104
1610885.9,0.71679,105
1506519.9,0.68251806,106
1347420.2,0.77297705,107
1397952.8,0.69163924,108
1630083.6,0.59411323,109
1596941.5,0.7042253,110
1620055.9,0.6057267,111
1214525.8,0.8417453,112
1390494.0,0.77598846,113
1519944.1,0.75393486,114
1553152.4,0.82948923,115
1364911.9,0.6867918,116
1428263.2,0.34072804,117
1601503.4,0.76438653,118
1267174.0,0.729071,119
1450730.2,0.48293158,120
1403922.2,0.70260423,121
1441558.2,0.714879,122
1232573.1,0.6587156,123
1505877.0,0.67586386,124
1389532.4,0.65117216,125
1560312.2,0.7020418,126
1535761.1,0.7717881,127
1568994.2,0.70411164,128
1541226.1,0.7373761,129
1295030.9,0.81514966,130
1321998.1,0.78842247,131
1424364.2,0.724348,132
1450069.6,0.79585785,133
1575665.0,0.7321219,134
1214238.9,0.8307831,135
1395322.8,0.75331604,136
1578356.1,0.6759859,137
1500751.2,0.71187663,138
1477568.2,0.5240812,139
1636990.6,0.6942218,140
1400234.4,0.7544092,141
1430251.5,0.746021,142
1515589.4,0.6373283,143
1574738.0,0.7845299,144
1489583.4,0.7772603,145
1488188.1,0.7512686,146
1386913.8,0.7460719,147
1595021.1,0.7704249,148
1653153.5,0.7616623,149
1554666.6,0.78878856,150
1490828.6,0.74244803,151
1422525.2,0.74460655,152
1374330.1,0.83023065,153
1590101.1,0.7040934,154
1396625.0,0.7718869,155
1295483.6,0.77697754,156
1486215.0,0.77472055,157
1360439.4,0.8176891,158
1603733.0,0.72002554,159
1437688.8,0.7372929,160
1464419.9,0.7622965,161
1426593.5,0.76418936,162
1365388.4,0.79188883,163
1377307.8,0.8096773,164
1328295.1,0.79135776,165
1676746.6,0.79323256,166
1374555.9,0.80434805,167
1531311.5,0.73535204,168
1482548.1,0.7441294,169
1477406.9,0.7217122,170
1529961.9,0.7213029,171
1496713.6,0.7538027,172
1548348.0,0.6942038,173
1453564.6,0.7737031,174
1481076.2,0.7960045,175
1578748.9,0.7402886,176
1605251.0,0.6012785,177
1298707.9,0.62929654,178
1271720.8,0.7556603,179
1378488.0,0.7814178,180
1387453.0,0.7128006,181
1489852.4,0.7507599,182
1279887.9,0.8424806,183
1412764.8,0.80556786,184
1441091.5,0.79742205,185
1543504.8,0.7324922,186
1588892.1,0.7570974,187
1406527.6,0.75405204,188
1618761.4,0.69928193,189
1486777.2,0.76544267,190
1422220.4,0.80319476,191
1498162.0,0.6682927,192
1451763.1,0.66204315,193
1537230.1,0.7826873,194
1451584.4,0.72584134,195
1528698.5,0.7324609,196
1441458.9,0.75423986,197
1556501.8,0.71379775,198
1643604.1,0.7425019,199
1575139.8,0.6745231,200
1609216.5,0.7604027,201
1372093.8,0.78684485,202
1445301.0,0.67200613,203
1405995.8,0.7544226,204
1560207.0,0.73461837,205
1506085.1,0.70282674,206
1445559.4,0.7313445,207
1406411.8,0.79924655,208
1492698.4,0.64216304,209
1501445.0,0.7189962,210
1366897.8,0.8116,211
1489814.9,0.80012625,212
1462566.6,0.72580945,213
1418607.4,0.7944598,214
1361824.1,0.7447171,215
1269758.1,0.8525587,216
1616791.9,0.7199559,217
1571758.4,0.72943777,218
1476200.9,0.6601599,219
1574587.6,0.75019425,220
1518540.9,0.7473265,221
1604495.5,0.8108834,222
1643030.1,0.7806151,223
1607951.8,0.7059907,224
1444420.1,0.8183036,225
1571715.2,0.7164402,226
1441147.8,0.6299812,227
1406243.0,0.74612445,228
1381350.4,0.783231,229
1544873.2,0.8063698,230
1616297.1,0.72957313,231
1476709.6,0.75655305,232
1234265.4,0.6167707,233
1394712.9,0.7972023,234
1437431.8,0.8745918,235
1657086.5,0.6882069,236
1586239.0,0.75749975,237
1568002.9,0.77876526,238
1479729.2,0.7666256,239
1467172.5,0.73926574,240
1517885.5,0.60443646,241
1377351.9,0.7828358,242
1535778.5,0.7577198,243
1452202.1,0.75905746,244
