gen,max fit,avg fit,med fit
0,0.6336211,0.3720465,0.3406592905521393
1,0.8331222,0.47046834,0.3423171937465668
2,0.39773384,0.39022514,0.40301835536956787
3,0.46069455,0.40186557,0.22987356781959534
4,0.37232268,0.7390093,0.8375023603439331
5,0.7624403,0.45158753,0.25161299109458923
6,0.65342134,0.56366044,0.8860743641853333
7,0.6911596,0.7307733,0.8223183751106262
8,0.35854647,0.4971319,0.3817293345928192
9,0.34660724,0.6805749,0.841253936290741
10,0.5748101,0.7461882,0.8066716194152832
11,0.44718152,0.8084137,0.818739652633667
12,0.59756726,0.8580055,0.9162230491638184
13,0.45735362,0.8022655,0.9055606126785278
14,0.4090013,0.49017334,0.5500876903533936
15,0.118199386,0.70488894,0.6053440570831299
16,0.29426593,0.65549284,0.5881292819976807
17,0.4228703,0.7586156,0.912418782711029
18,0.6878693,0.40345937,0.11687443405389786
19,0.48352626,0.74558437,0.7431196570396423
20,0.44550428,0.61630225,0.6290166974067688
21,0.31926826,0.536823,0.7977339625358582
22,0.5076124,0.412005,0.4898143410682678
23,0.25966176,0.54160935,0.780706524848938
24,0.2442092,0.5481232,0.6191425323486328
25,0.16707994,0.54440457,0.52170729637146
26,0.17559488,0.24555941,0.05694926530122757
27,0.73481166,0.62205803,0.7173739671707153
28,0.858322,0.46087408,0.21076808869838715
29,0.7428513,0.5024208,0.48692384362220764
30,0.73506314,0.7820934,0.8094714283943176
31,0.43190542,0.59488827,0.7399888038635254
32,0.6971273,0.68599117,0.6602320075035095
33,0.2666894,0.3240284,0.03749680519104004
