gen,max fit,avg fit
0,1.0671544,0.11489084
1,0.9928511,0.16615058
2,0.9668557,0.18180437
3,0.8121197,0.24333832
4,0.8841646,0.38603806
5,1.0287808,0.21370514
6,1.4023265,0.37501264
7,2.9409137,0.19268592
8,1.6431326,0.23001072
9,1.4733424,0.25413918
10,1.5317549,0.30440643
11,2.818923,0.29942253
12,2.693601,0.3670711
13,2.9627438,0.1006342
14,2.991502,0.3604717
15,1.9294101,0.41094762
16,2.6027143,0.33100748
17,1.8714275,0.39343968
18,2.1749737,0.48456675
19,2.0075243,0.227514
20,2.6073997,0.24203579
21,2.1919613,0.4803188
22,1.9139147,0.34478974
23,1.8218379,0.3118823
24,4.312447,0.3501953
25,3.4626622,0.29128742
26,2.641862,0.3947229
27,3.3861399,0.35135144
28,3.1536474,0.46849966
29,3.7214792,0.46634305
30,3.5371876,0.39514935
31,2.943525,0.5794738
32,3.6503615,0.5058988
33,2.5972328,0.5159296
34,3.57957,0.54510975
35,3.2734175,0.5835418
36,3.049288,0.41260654
37,2.4708617,0.35716432
38,3.0300148,0.39048165
39,3.8012671,0.54881036
40,3.2513926,0.5596523
41,3.7301066,0.56683356
42,3.671581,0.44655815
43,3.391123,0.2788586
44,4.725986,0.3012131
45,2.9861932,0.43052986
46,4.231307,0.311837
47,2.6776187,0.38865557
48,3.492646,0.4016476
49,3.3919275,0.5379641
50,2.8438509,0.5154311
51,2.7035124,0.43137822
52,3.524539,0.26521525
53,4.2853055,0.39201993
54,2.304696,0.42504317
55,4.0326557,0.3249331
56,2.0536919,0.51273066
57,3.5349984,0.3099859
58,4.722834,0.37103346
59,3.6596098,0.53896976
60,3.0122292,0.5360137
61,3.7814736,0.43596545
62,2.243385,0.4662101
63,2.7546577,0.400694
64,2.959571,0.43363604
65,4.329953,0.3754035
66,3.6925662,0.6420754
67,3.4121838,0.45488936
68,4.3468785,0.58275735
69,1.615369,0.36586514
70,2.0374997,0.38428092
71,3.9836996,0.52322453
72,3.2908409,0.3822826
73,3.2693887,0.41172528
74,4.2573595,0.47631767
75,2.6893637,0.5022205
76,3.694119,0.2984666
77,3.8907866,0.3120312
78,2.8796928,0.37714085
79,3.4406228,0.40809864
80,4.2494874,0.3717317
81,3.3761601,0.35399598
82,3.3767743,0.48997658
83,3.7599664,0.42041016
84,2.8518472,0.4842029
85,4.182291,0.5093182
86,3.3637545,0.427232
87,2.3351681,0.28087378
88,3.8515084,0.32979068
89,4.1193175,0.38027418
90,3.8601143,0.46721318
91,4.577088,0.33847004
92,4.225499,0.5081359
93,2.3789456,0.46285138
