Max Fitness,Average Fitness,Generation Number
1333.7263,0.36984703,0
1183.266,0.48528183,1
1056.2405,0.40006608,2
1227.6018,0.4956101,3
1134.7751,0.5349746,4
1330.3782,0.5558426,5
797.7124,0.5330793,6
990.94556,0.52704287,7
1226.1661,0.48036045,8
1416.1947,0.52413964,9
1075.7672,0.46980083,10
1225.0963,0.5382015,11
840.81213,0.46679977,12
1083.4692,0.53717715,13
1091.8682,0.47189713,14
1354.9589,0.52031446,15
1265.1962,0.58751917,16
1160.8375,0.49265715,17
1249.0182,0.51726896,18
810.6903,0.5795321,19
1121.4847,0.555958,20
985.8716,0.4223815,21
1342.2262,0.5779414,22
930.87164,0.61626893,23
1023.32837,0.49898556,24
1208.7677,0.5513365,25
951.372,0.50255305,26
1213.4064,0.55313975,27
1005.29065,0.45940822,28
927.6305,0.45750266,29
1196.6632,0.5772531,30
1074.0563,0.57883036,31
1001.1635,0.5586716,32
967.7708,0.43981645,33
1302.7294,0.5033428,34
1036.7883,0.47455186,35
1228.4564,0.57632726,36
1229.8892,0.5614351,37
1389.9012,0.5060477,38
1175.2645,0.48968604,39
1254.1615,0.5621911,40
1302.8937,0.535389,41
1220.1807,0.5377018,42
1192.6167,0.5315205,43
1332.9656,0.59296024,44
1187.1697,0.579633,45
1043.2632,0.45417503,46
832.25854,0.5671532,47
1327.4332,0.5356605,48
1209.9541,0.5496158,49
997.8759,0.5349169,50
1084.0944,0.6030029,51
1199.426,0.56252295,52
1296.7548,0.53027135,53
1162.7732,0.55086064,54
1243.6124,0.5686628,55
1121.5156,0.49142113,56
1349.5256,0.58332855,57
1191.232,0.5485349,58
1307.4346,0.61436105,59
1247.7919,0.6095947,60
1293.0253,0.6979831,61
1154.7698,0.56596506,62
711.26245,0.50968796,63
1316.7649,0.48363605,64
1133.3262,0.5660352,65
737.0016,0.42521656,66
1030.8335,0.51941305,67
836.9493,0.5060625,68
1043.5403,0.5735835,69
961.8918,0.52755845,70
