gen,max fit,avg fit
0,0.5109733,0.18254574
1,0.47544715,0.2743615
2,0.6427713,0.2445648
3,1.0076627,0.1111676
4,1.0212052,0.21492109
5,1.1537559,0.34703824
6,0.9181798,0.48598373
7,1.6048889,0.29386407
8,1.6225294,0.5014607
9,1.2908293,0.530793
10,1.1044436,0.26939777
11,0.9257902,0.22537489
12,1.1806469,0.4442267
13,0.9575424,0.4707666
14,1.2709111,0.5009521
15,1.6653749,0.47864905
16,1.4712157,0.3769587
17,1.5037695,0.47368348
18,1.6209972,0.45700604
19,2.869989,0.20151351
20,2.0132923,0.31224898
21,2.3712327,0.29902112
22,2.5468,0.29372033
23,3.247124,0.27126923
24,2.6074462,0.23967758
25,2.3743258,0.24524125
26,2.917651,0.3866552
27,3.2116995,0.25456053
28,2.5892544,0.44710654
29,1.9585762,0.47163445
30,2.7379067,0.5597636
31,2.59525,0.5775349
32,2.7708068,0.32175454
33,2.1608264,0.40481487
34,2.4921393,0.46860868
35,1.6326365,0.26033032
36,2.9572742,0.530611
37,2.9694505,0.47002837
38,2.6568089,0.40979993
39,2.8867161,0.28044596
40,2.738812,0.3619619
41,2.1866994,0.44169784
42,2.1735175,0.38796657
43,2.4024405,0.25311223
44,2.395206,0.4440135
45,2.0404742,0.4647354
46,1.6129652,0.3794468
47,2.2491803,0.33134028
48,2.079333,0.43625727
49,2.012638,0.38396558
50,2.399468,0.4101763
51,1.668185,0.37452924
52,2.4078557,0.5287906
53,2.4201205,0.5658894
54,2.7600288,0.3773712
55,1.6148839,0.43534237
56,1.1598314,0.36153919
57,1.8995137,0.27193344
58,2.6553488,0.47559386
59,1.677824,0.42587745
60,2.6754835,0.35249996
61,2.9793365,0.32279277
62,3.0541604,0.38461974
63,2.5485125,0.49282756
64,1.411039,0.2727836
65,2.1991694,0.4554125
66,3.0456607,0.55641395
67,2.2795603,0.48739913
68,2.2466676,0.42905685
69,2.405321,0.50559855
70,1.6249667,0.5126786
71,2.833019,0.44996083
72,2.661828,0.2908183
73,2.4829938,0.43400836
74,2.9136667,0.40429237
75,2.7725043,0.41228265
76,2.3942208,0.27178586
77,3.2027426,0.43595183
78,2.5155885,0.574755
79,2.9456997,0.3569607
80,1.694779,0.32865107
81,2.1151266,0.3761349
82,2.2020636,0.4215521
83,1.5663706,0.4307337
84,3.3992763,0.4729855
85,3.2188914,0.4628007
