Max Fitness,Average Fitness,Generation Number
6.8766837,0.14075981,0
8.106034,0.32859343,1
7.4618826,0.38840905,2
7.7572303,0.54382384,3
6.06093,0.37754977,4
5.682152,0.52482957,5
5.435705,0.52724713,6
8.264719,0.5274258,7
6.8416495,0.48269567,8
6.3492846,0.44026542,9
5.3927174,0.5161925,10
6.1207905,0.54409444,11
7.938366,0.53187037,12
7.812316,0.58599997,13
7.905311,0.53450334,14
6.4221115,0.5207379,15
5.8306093,0.53997725,16
7.0568686,0.5494455,17
7.231517,0.59084326,18
7.3988137,0.46998614,19
7.6367416,0.48054114,20
5.376279,0.558891,21
6.0783787,0.5013066,22
5.915914,0.5594347,23
7.574244,0.547103,24
5.8145757,0.49023983,25
6.107693,0.46191242,26
