gen,max fit,avg fit,med fit
0,0.49517363,0.15943402,0.14968925714492798
1,0.6818695,0.34955898,0.24715303629636765
2,0.7107497,0.40916312,0.29842913150787354
3,0.6613039,0.42015445,0.31322816014289856
4,1.4198287,0.27357256,0.22301045805215836
5,0.95164114,0.40444082,0.34362687170505524
6,1.5169358,0.38966754,0.353280246257782
7,1.3442974,0.2995678,0.19283365458250046
8,0.95435035,0.41296825,0.30883534252643585
9,1.0413874,0.42688286,0.3792964071035385
10,1.0975097,0.4417381,0.3717626929283142
11,1.9942981,0.31707868,0.31848879158496857
12,1.4248139,0.40773317,0.35763131082057953
13,1.0709364,0.5231636,0.5606369972229004
14,1.537781,0.5977345,0.5120985805988312
15,1.6527859,0.41065297,0.41715340316295624
16,1.4363145,0.54271036,0.5206001102924347
17,2.0534482,0.19690615,0.1550280824303627
18,0.8792342,0.43917766,0.3700995296239853
19,1.6075957,0.5149707,0.3856036961078644
20,2.3546164,0.3802856,0.28067581355571747
21,2.2213416,0.39706638,0.11703189089894295
22,1.3558878,0.6294984,0.6174736022949219
23,1.382971,0.510546,0.5383595824241638
24,1.6234994,0.529329,0.48288655281066895
25,2.2925935,0.3034007,0.1245274655520916
26,2.2539947,0.4118427,0.341558575630188
27,1.9526572,0.22725163,0.16110890358686447
28,1.8424338,0.4411591,0.3696637451648712
29,1.3661827,0.46867022,0.34309686720371246
30,1.9411924,0.3763045,0.30303406715393066
31,3.201929,0.515982,0.4661949872970581
32,3.3268347,0.47157034,0.41784390807151794
33,1.78255,0.4421649,0.41616667807102203
34,1.2088428,0.55452365,0.5781390964984894
35,2.6889768,0.42454273,0.3754121959209442
36,2.7719164,0.6042094,0.5730403065681458
37,2.2346377,0.570413,0.6307575404644012
38,3.0741353,0.48157752,0.3992938697338104
39,2.8813407,0.64818716,0.6668012738227844
40,2.936059,0.5883859,0.6941083669662476
41,2.314825,0.63094586,0.6943778991699219
42,3.2685084,0.566403,0.55472332239151
43,3.1333911,0.62501365,0.6278787851333618
44,3.3847432,0.7360691,0.7321533858776093
45,3.015359,0.6064689,0.6532188951969147
46,1.8664052,0.5389363,0.4219191074371338
47,2.1145449,0.47029957,0.4326038956642151
48,1.8068933,0.5667634,0.6307694613933563
49,2.81177,0.39628717,0.24801519513130188
50,1.6146082,0.40206155,0.3581800311803818
51,2.6338253,0.60232234,0.6237347722053528
52,2.1499445,0.540987,0.42367467284202576
53,1.3122412,0.5962195,0.5393941700458527
54,2.5029807,0.3852704,0.32854512333869934
55,2.4378998,0.26178414,0.10439831018447876
56,1.9691421,0.51191396,0.345206081867218
57,2.1837978,0.5305505,0.43683356046676636
58,2.8566372,0.48522386,0.3926849812269211
59,3.3282382,0.47907972,0.39181794226169586
60,2.218242,0.48154604,0.4104165583848953
61,2.357773,0.46053645,0.4253735989332199
62,2.6568677,0.6059644,0.7459220588207245
63,2.6887732,0.50079066,0.29342983663082123
64,2.8484838,0.5867835,0.4625580608844757
65,1.8962595,0.6677248,0.7143230140209198
66,1.7831036,0.60318995,0.7440900206565857
67,2.6390429,0.36594972,0.2931610941886902
68,2.713311,0.6109928,0.5412152111530304
69,2.4794903,0.46378222,0.3970586806535721
70,2.8647082,0.47886488,0.4035821557044983
71,2.0755785,0.56078404,0.5761319696903229
72,1.5445848,0.65523213,0.11425383016467094
73,2.4356215,0.28994474,0.14098013937473297
74,2.4150205,0.3641473,0.07588808611035347
75,2.8045156,0.4380426,0.2553020119667053
76,1.8658655,0.48656544,0.49344389140605927
77,2.619279,0.56182146,0.5289119184017181
78,2.3939953,0.43329346,0.28625835478305817
79,2.1035998,0.4925281,0.5160720348358154
80,2.5087965,0.21090332,0.20766093581914902
81,2.7817369,0.48321927,0.5083520412445068
82,1.9735633,0.5357603,0.4874945431947708
83,2.1696503,0.36834392,0.23025847971439362
84,1.7750664,0.47951624,0.5082648545503616
85,2.6623027,0.53227746,0.4501902014017105
86,3.2117271,0.38906044,0.2540569379925728
87,2.7309935,0.39477015,0.3118891566991806
