gen,max fit,avg fit,med fit
0,0.5565673,0.16330373,0.06977768614888191
1,1.1328051,0.123949595,0.08304871618747711
2,0.9364239,0.21744733,0.12764082849025726
3,1.4290993,0.38700005,0.24897529184818268
4,1.6162676,0.32488525,0.2796824723482132
5,0.8728314,0.256243,0.18153729289770126
6,1.2565492,0.37958696,0.3356369882822037
7,2.0981936,0.21545543,0.14487668871879578
8,2.0328615,0.21762308,0.14563065767288208
9,3.162263,0.21816233,0.1436070054769516
10,1.3853401,0.30273426,0.21827872097492218
11,2.3755662,0.1828297,0.11417767032980919
12,1.9154298,0.2824324,0.19103166460990906
13,2.1678798,0.37486517,0.31134335696697235
14,2.4739277,0.31955355,0.2716377228498459
15,3.076146,0.30687204,0.21425678580999374
16,3.1368868,0.44118175,0.3839026391506195
17,3.1653218,0.3089529,0.20664894580841064
18,3.060763,0.43173885,0.3666451871395111
19,2.2256312,0.4179212,0.3797188401222229
20,2.3991835,0.38307697,0.3306250423192978
21,2.3929133,0.52073705,0.5641233325004578
22,2.979622,0.48643854,0.5159580409526825
23,2.523945,0.30846366,0.25816112756729126
24,2.336712,0.45819592,0.3944091200828552
25,2.6524904,0.542655,0.571919322013855
26,3.083325,0.39417633,0.36014407873153687
27,2.0653472,0.5624001,0.609515368938446
28,2.4435177,0.4669674,0.40772874653339386
29,2.797038,0.530194,0.5573946535587311
30,2.346221,0.48812395,0.5124018788337708
31,2.4521494,0.37112966,0.284990131855011
32,2.6275182,0.48347113,0.4699867069721222
33,2.7116334,0.530785,0.5648979544639587
34,2.495877,0.47936872,0.4959389418363571
35,2.7510488,0.38143045,0.2657316327095032
36,2.684456,0.39866716,0.33692868053913116
37,2.9878786,0.45136037,0.329508513212204
38,2.526662,0.43626252,0.3191976100206375
39,1.9129874,0.44234613,0.4281267374753952
40,3.017019,0.4724347,0.3407163619995117
41,3.2923222,0.37801322,0.3407796025276184
42,2.1036057,0.45200163,0.4193919450044632
43,3.0055976,0.4115372,0.39990656077861786
44,2.736417,0.46794012,0.5024657547473907
45,2.7866645,0.4815298,0.45396752655506134
46,2.9186318,0.4716069,0.4669721871614456
47,3.289351,0.39836672,0.35837285220623016
48,3.248622,0.50922996,0.48679696023464203
49,2.497294,0.5548663,0.6568534672260284
50,2.6784878,0.43224132,0.36507825553417206
51,2.2487369,0.4535195,0.38803957402706146
52,3.0651052,0.38320836,0.26827672123908997
53,3.0076685,0.46202788,0.46575386822223663
54,3.1173644,0.42712435,0.2751944363117218
55,2.9034445,0.40895632,0.3172113299369812
56,2.0525215,0.3539042,0.270219087600708
57,3.1399834,0.54179865,0.7109718024730682
58,3.4234307,0.44711605,0.403103232383728
59,2.543874,0.52451694,0.5618570744991302
60,2.8589225,0.29148462,0.24886879324913025
61,3.0395496,0.4731313,0.4312506765127182
62,2.8131068,0.49546078,0.5057959258556366
63,2.2148297,0.38609457,0.3051232844591141
64,2.3262358,0.5745794,0.6015956103801727
65,2.3217733,0.55553424,0.5826601982116699
66,2.7057915,0.42082974,0.3458624929189682
67,2.522094,0.3587435,0.30073022842407227
68,2.2006216,0.4271258,0.4418860375881195
69,3.2799516,0.53028166,0.5412068068981171
70,1.4198033,0.42318067,0.39758189022541046
71,3.2459486,0.5398645,0.5245200097560883
72,2.4898663,0.5096791,0.5020955204963684
73,2.661772,0.32110184,0.22180330753326416
74,2.7108681,0.451583,0.45259587466716766
75,2.6328988,0.37848037,0.3338998258113861
76,3.0038743,0.48618504,0.4938976615667343
77,2.978547,0.5754577,0.4824043810367584
78,2.2240183,0.32005158,0.21078913658857346
79,2.5396261,0.38100132,0.3650256246328354
80,2.0961993,0.29320237,0.26192668080329895
81,3.322686,0.4609661,0.45858708024024963
82,2.7354863,0.36346966,0.2399086281657219
83,2.355833,0.48813173,0.4360131025314331
84,2.739732,0.47412837,0.4888893663883209
85,2.008767,0.43322283,0.3758135139942169
86,3.1288474,0.37680063,0.32986460626125336
87,2.4211326,0.47105044,0.48793843388557434
88,2.5335798,0.45344514,0.46341750025749207
89,2.4438455,0.4849286,0.49309423565864563
90,2.118964,0.51360756,0.5317085981369019
91,3.1427891,0.29568103,0.2407231479883194
92,2.7394674,0.54581845,0.5562633275985718
93,2.0818002,0.5473154,0.5749035775661469
94,2.9529908,0.38033536,0.2803187221288681
95,1.8811345,0.53880215,0.5195448100566864
96,2.378792,0.34676844,0.25339509546756744
97,2.6733232,0.43593976,0.33932989835739136
98,2.5292912,0.44234046,0.4492660015821457
99,1.6725694,0.4819534,0.391776368021965
100,2.8115978,0.5295705,0.525065004825592
101,2.473127,0.48390195,0.3990010619163513
102,3.3075054,0.47034526,0.5301549732685089
103,2.6763391,0.48788407,0.5411699712276459
104,2.987345,0.40250492,0.3613201528787613
105,1.9785731,0.47298217,0.3636067062616348
106,3.0155017,0.43783668,0.45839713513851166
107,2.97711,0.4953332,0.6256649792194366
108,2.1969845,0.3011606,0.2557678669691086
109,2.9905348,0.3892975,0.2569383382797241
110,3.0775151,0.3573661,0.29194122552871704
