Max Fitness,Average Fitness,Generation Number
37.309647,0.5926658,0
31.229527,0.7133653,1
28.93384,0.59449464,2
38.071068,0.6926751,3
36.548393,0.817883,4
33.52555,0.5935182,5
35.786804,0.8229786,6
34.26396,0.71155566,7
31.979696,0.67071533,8
38.071068,0.6332054,9
28.13832,0.6316317,10
15.989848,0.8018908,11
37.309647,0.56057286,12
25.899746,0.62388706,13
35.7868,0.65660906,14
35.025383,0.6108826,15
38.071068,0.9511877,16
37.309647,0.6816265,17
25.12639,0.72728294,18
26.649746,0.8388393,19
38.071068,0.8631693,20
31.979696,0.75234485,21
37.309647,0.56472445,22
38.071068,0.7491517,23
26.649746,0.72969717,24
38.071068,0.98199373,25
31.979696,0.6442926,26
27.411167,0.6844611,27
31.218447,0.8109542,28
38.071068,0.9140058,29
37.309647,0.63874483,30
38.071068,0.8840056,31
26.649746,0.6851518,32
36.548225,0.52695173,33
37.309647,0.771008,34
35.786804,0.8012701,35
19.796955,0.91076934,36
38.071068,0.7576178,37
38.071068,0.9636,38
38.071068,0.9083996,39
38.071068,1.0,40
