gen,max fit,avg fit,med fit
0,0.19925112,0.49016082,0.44953420758247375
1,0.4420358,0.26014808,0.09777810424566269
2,0.3099051,0.49604484,0.6835712790489197
3,0.27533892,0.46926677,0.22798965871334076
4,0.47421715,0.3558254,0.2771437466144562
5,0.19516803,0.2661843,0.0065542953088879585
6,0.2078323,0.5562553,0.5141403675079346
7,0.32573345,0.41425547,0.3538878560066223
8,0.43356037,0.28702772,0.23463818430900574
9,0.42035705,0.46414316,0.523054301738739
10,0.43658155,0.13608477,0.022905226796865463
11,0.8927955,0.21600822,0.054716721177101135
12,0.37920362,0.34171408,0.3189564645290375
13,0.37334865,0.67161155,0.7058048844337463
14,0.35766286,0.43540367,0.22459006309509277
15,0.8041639,0.23973456,0.1240711584687233
16,0.7570169,0.38215324,0.3074895441532135
17,0.400837,0.55288714,0.6684994697570801
18,0.22575411,0.3549451,0.2555835545063019
19,0.4898595,0.5625312,0.5726525783538818
20,0.78999823,0.31707075,0.2107762098312378
21,0.6354339,0.5090756,0.47691452503204346
22,0.67248887,0.56965995,0.6942554116249084
23,0.119491056,0.25213015,0.08368827402591705
24,0.9800116,0.31156445,0.26290470361709595
25,2.5874777,0.45814565,0.3880370855331421
26,2.042549,0.20668033,0.1342785358428955
27,2.7350068,0.3659974,0.23347817361354828
28,1.085808,0.7271559,0.7382029891014099
29,1.9368255,0.58786505,0.5743546485900879
30,2.3027928,0.5991393,0.7465173006057739
31,2.9506223,0.5887117,0.790661633014679
32,1.1742249,0.6292675,0.7748075723648071
