Max Fitness,Average Fitness,Generation Number
7.259496,0.08383813,0
6.59614,0.1865784,1
5.0834904,0.34919488,2
8.004977,0.44426143,3
6.95694,0.4892457,4
5.826677,0.4058962,5
5.85053,0.6013254,6
5.8365974,0.46989578,7
5.8274035,0.4592659,8
7.497265,0.460962,9
6.722202,0.46295318,10
4.8814583,0.34115005,11
5.3897247,0.5110507,12
6.9545135,0.44699562,13
5.857041,0.48988292,14
6.9344525,0.5163172,15
5.0037904,0.47514492,16
7.2314696,0.5969654,17
5.2242384,0.5584179,18
6.180359,0.43229657,19
4.7276154,0.54172933,20
4.8285465,0.44002724,21
7.3988223,0.40858737,22
8.350926,0.46104375,23
7.2102723,0.50423074,24
6.697621,0.5222089,25
7.3385067,0.4534574,26
7.333209,0.5358041,27
5.692746,0.44663972,28
6.815487,0.33579394,29
4.5308943,0.5639187,30
7.9904666,0.47105268,31
6.3357396,0.43450698,32
6.2581277,0.38127574,33
5.1060514,0.5720144,34
7.4138417,0.5550117,35
7.279792,0.4282939,36
6.271768,0.52310866,37
6.617984,0.4977174,38
7.8009653,0.4007526,39
7.08572,0.43736762,40
6.0867343,0.5343615,41
5.484455,0.38296014,42
5.8771973,0.4376744,43
7.0940495,0.6080563,44
6.648306,0.3644619,45
6.6470366,0.48872617,46
5.625055,0.50173604,47
6.641046,0.38243684,48
6.4855833,0.5769204,49
6.3196964,0.41705447,50
5.80022,0.40265837,51
7.339757,0.46609282,52
5.1589475,0.47431207,53
5.755826,0.42127734,54
7.6580443,0.4510954,55
6.4795585,0.4654646,56
4.8225703,0.52356344,57
7.417162,0.4813408,58
5.208018,0.48291653,59
5.548214,0.43771157,60
6.644888,0.42001143,61
5.974771,0.45652005,62
6.041317,0.4766141,63
6.329014,0.42764148,64
7.766906,0.43831378,65
5.0887237,0.42629197,66
7.179427,0.46498984,67
6.732666,0.43809265,68
7.9057007,0.50231934,69
7.5459805,0.47796345,70
7.4364285,0.5567998,71
6.822587,0.48552883,72
7.591151,0.42410165,73
