gen,max fit,avg fit,med fit
0,0.65307856,0.21991296,0.1529662311077118
1,0.25825673,0.26623785,0.20492395758628845
2,0.67706776,0.2308949,0.2422361969947815
3,0.7649021,0.34894335,0.27636638283729553
4,0.5334247,0.5155541,0.525644838809967
5,0.19618249,0.4604853,0.4507639706134796
6,0.60094154,0.30335695,0.2874157428741455
7,1.2581447,0.3210406,0.3244740664958954
8,1.1201516,0.20776857,0.11205063760280609
9,1.8119513,0.41461104,0.3362361788749695
10,1.2620553,0.506783,0.6558219194412231
11,0.771897,0.31128737,0.24223455786705017
12,1.986612,0.5290929,0.49109044671058655
13,1.284373,0.5521708,0.5976552963256836
14,1.3088592,0.63979363,0.6948520541191101
15,2.1877182,0.40467235,0.18738682568073273
16,2.1468134,0.5483335,0.5771430730819702
17,1.3848561,0.47413537,0.5543496608734131
18,0.8667704,0.48636138,0.5655420422554016
19,2.2824166,0.31913632,0.25975483655929565
20,0.68627614,0.43089893,0.42851054668426514
21,2.6408813,0.462198,0.24767877161502838
22,2.316537,0.49140036,0.4201625883579254
23,1.6399225,0.5768994,0.40952277183532715
24,3.148464,0.37573007,0.40194371342658997
25,2.3107395,0.24377863,0.11449888348579407
26,2.0560234,0.22217733,0.13631553947925568
27,2.0712838,0.52716947,0.482370525598526
28,1.9767834,0.24019983,0.1532103419303894
29,1.5909215,0.4523014,0.3797016739845276
30,1.6554933,0.30052927,0.23418733477592468
31,2.3188345,0.3243753,0.3134637475013733
32,2.5423703,0.3485294,0.3411124646663666
33,1.060694,0.48418945,0.5682202577590942
34,1.1835414,0.6595199,0.7056112289428711
