gen,max fit,avg fit
0,0.7431589,0.1355802
1,0.9284928,0.16641846
2,1.4513544,0.18856598
3,1.5131577,0.23600051
4,2.1068661,0.2588773
5,2.5878615,0.31891125
6,2.1858602,0.2630946
7,1.4512041,0.2526254
8,1.9580084,0.25296053
9,2.8628926,0.39082175
10,2.174959,0.31045195
11,1.9769012,0.48056006
12,2.0065339,0.31501117
13,2.1288285,0.42772225
14,1.9963372,0.34734553
15,2.6398652,0.34599814
16,3.2569945,0.48110318
17,2.7941012,0.4929438
18,2.4124856,0.33744892
19,1.7095572,0.36244848
20,2.6364782,0.34352168
21,2.1111238,0.55597705
22,2.9980078,0.28471044
23,2.100658,0.24708445
24,2.960832,0.3086151
25,3.2443128,0.39890233
26,2.2467475,0.34253556
27,2.313645,0.45886427
28,2.1857145,0.3538785
29,2.3377273,0.53775156
30,2.077243,0.35879478
31,2.3597133,0.3321114
32,3.0351827,0.54018146
33,1.7268577,0.436267
34,2.117733,0.42373222
35,1.4409219,0.40466517
36,2.0259678,0.4097137
37,3.1927664,0.45030013
38,3.268818,0.36394507
39,2.3130167,0.47566387
40,2.1131256,0.4111177
41,1.753316,0.48880687
42,2.1433516,0.62779033
43,2.6783836,0.31706154
44,3.2754068,0.56680405
45,2.469428,0.47972676
46,3.0918536,0.61830086
47,1.7422309,0.31266806
48,1.8285899,0.43516305
49,2.2728202,0.42755777
50,1.8807722,0.3514107
51,3.0922894,0.36186045
52,2.1134086,0.26763773
53,3.0799754,0.28726214
54,2.3768113,0.4483496
55,2.3704653,0.48947942
56,2.3211257,0.5321364
57,3.0908263,0.27487758
58,2.5918021,0.3332122
59,2.6071317,0.3855174
60,2.4777358,0.21253331
61,2.5375576,0.4953239
62,2.505435,0.39264047
63,2.9537082,0.3688348
64,3.0126183,0.31204328
65,2.0009642,0.30932963
66,2.9753032,0.5546358
67,2.083482,0.38956696
68,1.9301145,0.2742616
69,3.1955264,0.4967396
70,1.6103984,0.5147294
72,1.9179213,0.370684
73,2.309367,0.4172152
74,1.9130032,0.40479663
75,2.253727,0.44603097
76,2.8127372,0.5214182
77,2.3388364,0.31640273
78,2.07663,0.54855514
79,1.9776354,0.4880882
80,1.5589983,0.43642163
81,2.960675,0.38371968
82,2.8271675,0.57256794
83,3.1115766,0.55815405
84,2.6740198,0.4950041
85,2.374075,0.50845295
86,3.1779895,0.5280616
87,2.9753897,0.3240299
