gen,max fit,avg fit,med fit
0,0.17103791,0.44328123,0.22951513528823853
1,0.1950971,0.6704626,0.3798227906227112
2,0.18463291,0.7038794,0.9650902152061462
3,0.105372876,0.81686515,0.7926219701766968
4,0.43360358,0.48636857,0.3405773937702179
5,0.31364375,0.2684202,0.09088079631328583
6,1.5318382,0.3393235,0.22434569895267487
7,1.1167492,0.6012686,0.6195328831672668
8,1.3162476,0.6120714,0.5394841432571411
9,0.7649861,0.76996934,0.8976029753684998
10,1.0527229,0.69496787,0.7720889449119568
11,0.9412768,0.6410154,0.869351863861084
12,1.6027575,0.5862068,0.5962296724319458
13,2.147472,0.577193,0.5362147092819214
14,1.4431496,0.71072745,0.838249921798706
15,1.9488779,0.61339504,0.0
16,1.8930888,0.4448182,0.189507856965065
17,1.7959204,0.57998323,0.19189947843551636
18,0.9681298,0.68172705,0.6126025915145874
19,1.1892031,0.7127427,0.6960885524749756
20,0.4900769,0.64011115,0.5781070590019226
21,1.7714317,0.6764709,0.8337937593460083
22,2.210898,0.5763203,0.4415522813796997
23,2.8038292,0.44953337,0.24089162051677704
24,0.80034554,0.854369,0.685339093208313
25,0.62043554,0.790541,0.7823325395584106
26,1.5949849,0.9234207,0.9257501363754272
27,2.0716496,0.81329757,0.990784227848053
28,2.4765751,0.8343768,0.9497289657592773
29,1.386703,0.75569195,0.6261457800865173
30,1.5507475,0.789022,0.9535323977470398
31,0.640564,0.6750867,0.7606369853019714
32,1.8846959,0.5882559,0.4568856954574585
33,1.9574196,0.9398099,0.943087637424469
34,1.5395192,0.5504092,0.0
35,1.1623354,0.682702,0.5810815691947937
36,2.1332793,0.34623453,0.11867988854646683
37,2.183553,0.72695065,0.8470110893249512
38,2.0779,0.5406457,0.515052318572998
39,0.93642944,0.71921074,0.8737809658050537
40,2.727529,0.6673792,0.7288461327552795
41,1.8280667,0.7148756,0.801925539970398
42,2.3177426,0.5426451,0.44849395751953125
43,2.0469842,0.55887496,0.33747923374176025
44,1.4951637,0.66910017,0.8499874472618103
45,1.4831682,0.85696477,0.8695679903030396
46,0.40994185,0.6628987,0.6362464427947998
47,1.7757909,0.7006905,0.6295489072799683
48,0.97806525,0.8824247,0.8904724717140198
49,2.6646554,0.87992156,0.9105324149131775
50,1.2159264,0.7485274,0.8855453729629517
51,1.1889341,0.6897038,0.7296895384788513
52,2.6081915,0.8305723,0.8304029703140259
53,1.1249253,0.8841772,0.9093046188354492
54,1.5668817,0.6901952,0.6022904515266418
55,2.4844155,0.7382608,0.8710453510284424
56,0.94461167,0.59105074,0.522175669670105
57,0.89112365,0.6339787,0.6265513300895691
58,1.8695713,0.71252096,0.5538802742958069
59,1.1651056,0.869849,0.8835209608078003
60,1.2693719,0.6674173,0.8741596341133118
61,1.6916306,0.72683245,0.8514881730079651
62,3.4669309,0.6660351,0.5476587414741516
63,1.9551343,0.7928221,0.6103101372718811
64,2.8478556,0.8283722,0.9583736062049866
65,0.7189021,0.6119671,0.5949887037277222
66,0.9557521,0.5390734,0.714816689491272
67,2.099803,0.70454824,0.799553394317627
68,0.52434105,0.5514342,0.5159306526184082
69,0.34804553,0.6184633,0.3590058982372284
70,2.3555634,0.5978635,0.8351213335990906
71,1.292295,0.7534156,0.8088292479515076
72,1.6173487,0.8089425,0.7804940938949585
73,2.15406,0.808302,0.9185588955879211
74,2.4708426,0.63914025,0.5881496667861938
75,1.9430085,0.3860559,0.2529395818710327
76,2.0292778,0.6135786,0.5751795172691345
77,1.9184752,0.820333,0.8895399570465088
78,1.1586391,0.68391293,0.8755449056625366
79,0.6498709,0.6747128,0.6169344186782837
80,2.4280946,0.5202613,0.62441486120224
81,1.3476946,0.74604934,0.7627109885215759
82,2.2949493,0.9303552,0.9291793704032898
83,2.1508448,0.6745928,0.8728219270706177
84,2.3226748,0.7620315,0.6522106528282166
85,1.1452221,0.7069892,0.20492376387119293
86,1.2767959,0.57050604,0.15198689699172974
87,2.5285175,0.6136931,0.5182691812515259
88,0.7130987,0.5803715,0.44100186228752136
89,0.9006794,0.57491744,0.3573251962661743
