gen,max fit,avg fit,med fit
0,0.21321449,0.41020173,0.4337821304798126
1,0.28346297,0.4108331,0.35904714465141296
2,0.6206352,0.2807947,0.2729261815547943
3,0.58537567,0.34121564,0.24069885909557343
4,0.7806741,0.21549834,0.19879020750522614
5,0.93815774,0.41054615,0.35834968090057373
6,0.9761609,0.53223324,0.44412559270858765
7,0.9176412,0.31278273,0.21793627738952637
8,1.1649868,0.18039012,0.11812405288219452
9,1.4594973,0.5039498,0.4330316185951233
10,0.81957763,0.5228084,0.5480390787124634
11,1.097505,0.5645938,0.6426711082458496
12,0.62527823,0.4922843,0.44458186626434326
13,0.47384843,0.38507128,0.34134888648986816
14,1.4912705,0.60221344,0.6721109747886658
15,1.2943572,0.6610775,0.8594651818275452
16,0.9668479,0.48658416,0.4971807897090912
17,1.0206798,0.43718785,0.47854718565940857
18,1.4321697,0.27051735,0.21721185743808746
19,0.8844178,0.4975495,0.5219573974609375
20,1.1386067,0.37587526,0.15246771275997162
21,0.94996285,0.3169405,0.21658852696418762
22,0.6355225,0.48432213,0.4974728226661682
23,1.4597307,0.24222206,0.13799522817134857
24,1.2339532,0.5164126,0.6543548703193665
25,0.7594223,0.6889281,0.7775507569313049
26,0.69815826,0.62156147,0.8040787577629089
27,1.3069268,0.51141953,0.42993226647377014
28,1.2859203,0.38008028,0.4727623760700226
29,0.96862125,0.4628648,0.4508156478404999
30,0.6333858,0.49123454,0.63704514503479
31,1.2632091,0.52510387,0.6431789994239807
