Max Fitness,Average Fitness,Generation Number
0.65321064,0.3583701,0
0.6360069,0.39623946,1
0.8700433,0.39451018,2
1.1318198,0.33439183,3
0.979954,0.25658628,4
1.131547,0.24479088,5
0.49003646,0.42691422,6
1.0399888,0.25789863,7
1.2277493,0.31188664,8
2.9760957,0.13923675,9
1.2897681,0.26980913,10
3.121938,0.3217659,11
2.002608,0.26953462,12
1.495799,0.5399477,13
2.7706497,0.513755,14
1.6540027,0.47230706,15
2.928471,0.44314018,16
2.2263975,0.13935417,17
1.5755545,0.52093524,18
3.295855,0.42593056,19
1.9853749,0.29536504,20
2.9558082,0.5162071,21
2.354103,0.20396817,22
1.8992695,0.50737727,23
3.0094852,0.52132624,24
2.9451463,0.5033554,25
3.2204642,0.40333185,26
2.986035,0.43406123,27
2.583701,0.6212574,28
1.7492591,0.52786964,29
2.8433917,0.80276126,30
2.3278773,0.54654604,31
2.5307176,0.5485967,32
2.7456346,0.44105607,33
2.3146207,0.47927257,34
1.911504,0.60438,35
2.2796974,0.33425748,36
1.1972395,0.41144007,37
1.9283032,0.70623124,38
1.775836,0.3134746,39
2.1410317,0.7559114,40
2.617169,0.30809072,41
2.1959329,0.6790396,42
2.2704434,0.5551118,43
1.9060057,0.51125246,44
2.275179,0.5190136,45
2.4722638,0.41341916,46
1.9445608,0.4666932,47
1.9188393,0.4808145,48
2.8560758,0.2385893,49
2.1229622,0.5712477,50
2.4823647,0.65106094,51
2.60058,0.7098086,52
2.4684434,0.3105807,53
1.5640835,0.52603716,54
2.4409404,0.31459743,55
1.8950726,0.3340793,56
0.4874998,0.55832744,57
3.9246202,0.35443756,58
1.7432567,0.42547643,59
1.7790686,0.4713854,60
2.822391,0.31415853,61
2.4781468,0.33294818,62
1.9605931,0.33468792,63
3.0742605,0.45956382,64
3.733431,0.40045685,65
5.32989,0.51832944,66
1.4672283,0.6031,67
4.2850614,0.5446818,68
4.899213,0.63000333,69
5.5653515,0.7298545,70
5.937132,0.6452127,71
6.48988,0.37272233,72
1.575031,0.56210893,73
5.1625385,0.41239765,74
5.257013,0.42146602,75
2.3044736,0.67899644,76
3.9290795,0.76322967,77
2.835886,0.46185452,78
5.553957,0.7251181,79
5.170014,0.4619711,80
5.1628203,0.47012672,81
3.4902122,0.7665103,82
3.079607,0.6823556,83
4.811339,0.4510903,84
3.4732676,0.5932605,85
6.0075226,0.30897692,86
5.4489603,0.47755772,87
4.3444242,0.36772892,88
4.5535374,0.24382293,89
6.503388,0.58141,90
5.121235,0.4278187,91
4.240541,0.5605394,92
2.930916,0.60790575,93
3.2775095,0.58410156,94
3.3902397,0.64868855,95
4.516774,0.49245217,96
4.8654537,0.3254995,97
3.521857,0.5173287,98
4.678057,0.3528511,99
4.327907,0.3495298,100
4.86566,0.5046521,101
5.0299397,0.5309023,102
4.8648386,0.43731633,103
3.510019,0.39447296,104
4.2947345,0.39380473,105
5.124505,0.5095,106
4.068974,0.30957213,107
4.3892026,0.29291445,108
5.3984027,0.58327764,109
6.1118274,0.44294184,110
3.8129404,0.4740388,111
5.0199814,0.33913928,112
5.8348784,0.52362204,113
5.139721,0.5343406,114
5.8449187,0.37313765,115
6.175693,0.41286895,116
6.046927,0.40820256,117
4.902744,0.43755358,118
5.1443057,0.45203835,119
6.3054256,0.422134,120
5.7471814,0.3468975,121
6.298994,0.44582003,122
5.031262,0.49400538,123
4.8766236,0.4461071,124
5.6205425,0.5667237,125
6.2227373,0.5084381,126
3.9250915,0.48177776,127
3.7810245,0.29489765,128
4.673096,0.48928556,129
4.547307,0.31967622,130
2.7859643,0.47846925,131
4.687957,0.51721007,132
3.0113685,0.41360757,133
5.644021,0.4308672,134
5.8278294,0.2954097,135
4.330091,0.42578933,136
3.8903258,0.5730386,137
7.014788,0.5053695,138
5.482234,0.38868833,139
5.8333178,0.32852796,140
5.770634,0.5708509,141
5.6486297,0.48705253,142
5.1866326,0.5700735,143
5.454889,0.24299265,144
5.8194914,0.22120209,145
5.034585,0.27783358,146
5.2195487,0.44923922,147
3.8602443,0.4930949,148
3.4919791,0.4429823,149
3.5411694,0.55252063,150
3.3882217,0.44119874,151
4.644858,0.5177805,152
5.6138077,0.50941217,153
5.440543,0.4694143,154
4.409031,0.43213925,155
2.5646098,0.5865863,156
2.951372,0.7600487,157
6.0876,0.30129668,158
5.401998,0.28016698,159
4.9293203,0.40717766,160
3.6271753,0.5221051,161
3.4155796,0.5261787,162
4.0550704,0.52226615,163
3.1464798,0.5119849,164
4.5424623,0.40186638,165
2.4856663,0.45318997,166
6.056633,0.52011466,167
4.119407,0.36718473,168
4.7849784,0.4346397,169
4.326424,0.40697402,170
3.0012553,0.36964428,171
3.2410283,0.67412424,172
6.3781977,0.41880265,173
3.601707,0.46828288,174
4.739529,0.51855993,175
4.122196,0.53033376,176
3.8535135,0.46875438,177
3.6148767,0.5025848,178
3.1262152,0.6212677,179
5.3749313,0.42250782,180
5.7541075,0.4995541,181
6.2935896,0.5953524,182
2.9578779,0.75118446,183
5.3457637,0.3770004,184
5.737577,0.29890528,185
6.3481,0.49737087,186
3.5952168,0.4369544,187
3.5374844,0.45890293,188
5.375992,0.4651862,189
4.65598,0.5039191,190
6.0548215,0.6163143,191
4.778043,0.4442429,192
4.336818,0.5894303,193
3.2250197,0.36334288,194
4.3013926,0.52852935,195
4.0507355,0.61623853,196
4.3408437,0.49411198,197
6.6790113,0.45723462,198
4.9888616,0.36917514,199
5.803791,0.46770003,200
2.5627599,0.2979082,201
5.221007,0.65006655,202
5.8858585,0.5721049,203
5.6034226,0.6937277,204
5.6360188,0.41433552,205
4.1063395,0.44007298,206
2.8612268,0.527335,207
5.162304,0.5099894,208
3.5237389,0.58241326,209
3.0079823,0.4143589,210
4.5579715,0.5395019,211
5.9597263,0.3982112,212
4.831294,0.46752793,213
5.250098,0.2905964,214
6.232162,0.5745263,215
3.818779,0.53129995,216
3.201526,0.3932979,217
3.0423164,0.5871917,218
3.862832,0.6963153,219
3.0794191,0.33991268,220
