Max Fitness,Average Fitness,Generation Number
748746.9,0.5721451,0
693125.7,0.763667,1
842425.44,0.73601526,2
799249.56,0.664908,3
772813.0,0.7296231,4
829118.56,0.6629213,5
751894.2,0.6460727,6
803361.44,0.6950882,7
881826.06,0.6722063,8
779244.75,0.6902716,9
952344.44,0.6064093,10
864747.5,0.67586255,11
817766.3,0.6079567,12
866280.75,0.7020064,13
737638.6,0.6670009,14
775047.56,0.6876316,15
882736.75,0.6143549,16
741412.06,0.68357897,17
868519.94,0.62747383,18
771901.7,0.6885111,19
785086.9,0.7525882,20
903627.9,0.6507006,21
790860.75,0.73471934,22
925512.7,0.67865145,23
835535.75,0.59176946,24
842890.7,0.68277377,25
861673.5,0.6158509,26
808803.56,0.647905,27
857791.56,0.6481591,28
722813.9,0.7701199,29
856699.8,0.6026407,30
706104.0,0.776088,31
773046.3,0.6955515,32
737412.44,0.7505442,33
803538.2,0.72315705,34
744618.1,0.7329137,35
882782.0,0.6445692,36
697935.9,0.76750135,37
805982.44,0.67810214,38
740950.1,0.58418256,39
728568.25,0.69561297,40
752639.25,0.66403794,41
656516.06,0.6494471,42
716679.94,0.7745197,43
750463.9,0.7219973,44
846515.06,0.6787616,45
779008.0,0.65863454,46
786977.6,0.71178716,47
864650.94,0.6877202,48
702609.4,0.7333022,49
865752.56,0.6740444,50
730930.6,0.63180995,51
845372.3,0.6340733,52
901132.5,0.6192447,53
700969.9,0.7610914,54
847287.3,0.70054144,55
787996.0,0.6246507,56
764612.44,0.6852314,57
700794.5,0.7519357,58
794378.2,0.7070955,59
863579.25,0.6049894,60
814356.7,0.600482,61
835597.5,0.6463896,62
909192.6,0.5991658,63
814007.2,0.61323804,64
855598.8,0.6857473,65
879774.1,0.5749257,66
869677.56,0.657119,67
770700.3,0.65915865,68
851341.1,0.62960553,69
753051.0,0.7085395,70
891076.3,0.6845998,71
830064.25,0.7074397,72
754947.7,0.78490084,73
801804.94,0.70035505,74
788316.06,0.60910976,75
823587.3,0.67256135,76
780393.4,0.67184234,77
802363.6,0.6249525,78
800870.56,0.5464945,79
755043.94,0.75879127,80
845777.44,0.68947935,81
901852.4,0.65621793,82
818981.75,0.6411793,83
833263.75,0.699311,84
766426.1,0.61720866,85
929856.4,0.78216743,86
795432.44,0.7539276,87
712516.4,0.7699231,88
911291.7,0.6129654,89
843295.06,0.6025523,90
872522.06,0.58652836,91
836645.0,0.6761502,92
810417.06,0.6559036,93
770116.8,0.6681137,94
736943.7,0.7358133,95
849246.2,0.63492936,96
831057.25,0.67650145,97
840645.25,0.6720268,98
950801.4,0.60964704,99
782720.0,0.70394224,100
812096.2,0.73323196,101
831182.56,0.5638322,102
852070.1,0.6983969,103
780764.94,0.70612884,104
775932.4,0.6975665,105
863951.0,0.6813668,106
797262.2,0.6615479,107
819869.3,0.59925836,108
764341.6,0.68207556,109
731026.75,0.6442913,110
731876.94,0.6947236,111
795166.5,0.65123016,112
803015.4,0.592318,113
746049.2,0.69469243,114
769574.7,0.6338328,115
794164.7,0.6650778,116
758813.8,0.63078415,117
819151.94,0.565736,118
768431.3,0.599925,119
808519.44,0.6620954,120
744126.5,0.65283394,121
840837.5,0.5459555,122
854219.4,0.6929994,123
864211.2,0.6078882,124
862493.44,0.6210649,125
849676.75,0.66725385,126
792479.2,0.64606863,127
