Max Fitness,Average Fitness,Generation Number
1069409.6,0.796503,0
1137934.0,0.81176186,1
1124432.5,0.807712,2
1173670.8,0.78989357,3
1234464.6,0.73052424,4
1232542.4,0.752643,5
1165106.9,0.7499681,6
1129146.8,0.8009019,7
1194848.0,0.74616516,8
1138779.6,0.76341593,9
1043037.3,0.8270973,10
1057813.9,0.8139335,11
1061598.4,0.8202781,12
1237251.8,0.75450516,13
1084564.9,0.7775719,14
1106652.8,0.8057875,15
1114237.4,0.7915832,16
1155767.0,0.7719581,17
1263844.1,0.710306,18
1098262.6,0.7720279,19
1191861.8,0.71976554,20
1154674.4,0.7540999,21
1145119.2,0.70902175,22
1220562.9,0.71657455,23
1299067.6,0.71710116,24
1284583.2,0.6996286,25
1141274.2,0.79185075,26
1189131.5,0.7438229,27
1163505.1,0.7745053,28
1181845.9,0.781768,29
1239047.8,0.7082798,30
1277077.8,0.75813127,31
1268408.8,0.71490616,32
1157447.9,0.7875669,33
1212411.8,0.68689734,34
1103644.4,0.78690237,35
1144114.4,0.7835944,36
1175749.5,0.6811692,37
1091789.0,0.80368805,38
1263841.0,0.7282034,39
1220118.4,0.7322475,40
1213462.2,0.6950765,41
1179805.1,0.74132776,42
1310684.8,0.6787254,43
1217737.6,0.7384619,44
1181535.1,0.7529368,45
1129087.8,0.8072779,46
1235178.2,0.7477262,47
1059159.1,0.7947316,48
1125010.5,0.80393827,49
1204878.4,0.7761087,50
1166116.5,0.78128594,51
1317497.5,0.69029677,52
1223267.6,0.7339995,53
1222791.6,0.7680962,54
1168485.1,0.7777538,55
