gen,max fit,avg fit
0,0.89638245,0.15010414
1,1.041929,0.17366101
2,0.62351084,0.25238684
3,0.9300155,0.20381063
4,1.1304913,0.27492437
5,1.1559875,0.2767593
6,1.5194166,0.27258396
7,3.4624052,0.19146508
8,2.872316,0.4161174
9,2.7717018,0.40421054
10,2.2008486,0.4145203
11,1.8866713,0.5134111
12,1.319983,0.56570554
13,2.9125614,0.51929057
14,1.594507,0.5996387
15,3.1001394,0.51675016
16,2.3098023,0.4240837
17,2.7647667,0.4494081
18,2.8399427,0.328492
19,2.3787348,0.61845756
20,2.775668,0.32373247
21,2.673757,0.47423962
22,1.8026209,0.55437076
23,2.5894434,0.42113647
24,3.184692,0.4648265
25,2.50164,0.31164613
26,3.1363,0.5997818
27,2.6222706,0.49118719
28,2.2424967,0.4270773
29,3.0952284,0.32167548
30,2.3191698,0.4949667
31,1.6366155,0.48875573
32,2.335728,0.41945255
33,3.098524,0.4470644
34,1.8088523,0.21825618
35,2.4960206,0.42537954
36,2.1698413,0.53323305
37,3.0883653,0.53905046
38,1.9231013,0.57948416
39,2.1352766,0.33993864
40,2.6687984,0.4603409
41,2.1663125,0.38412023
42,1.9927257,0.3577434
43,2.442511,0.44735393
44,2.9677157,0.38474473
45,2.3462355,0.5476622
46,2.1872826,0.44286
47,2.2366362,0.37978342
48,1.7484932,0.38556078
49,2.2320554,0.43474817
50,2.4461193,0.407254
51,1.7375683,0.5298709
52,2.6943152,0.45967615
53,1.7610437,0.34868482
54,1.5271388,0.33956578
55,2.3400898,0.30450395
56,1.7921567,0.4681987
57,1.7164015,0.4077546
58,3.2216516,0.57442135
59,2.2092195,0.3734986
60,1.2110947,0.48280552
61,2.2201524,0.5065422
62,2.9497828,0.49618876
63,2.508076,0.5609861
64,1.4351276,0.45147416
65,2.16563,0.5787906
66,2.1236243,0.5689439
67,1.7830194,0.40729415
68,1.8211311,0.5734555
69,1.5322512,0.4392367
70,2.7171748,0.24284396
71,1.8126142,0.3645853
72,2.8049223,0.43850917
73,1.9235914,0.52762985
74,1.7180516,0.5334952
75,2.3186512,0.4621394
76,2.8176186,0.58229303
77,3.0688267,0.47499877
78,3.307839,0.35014406
79,2.241583,0.27344522
80,2.611943,0.5294947
81,2.3720162,0.37473705
82,2.1695964,0.43859613
83,1.8546648,0.57818913
84,2.9265585,0.23936038
