Max Fitness,Average Fitness,Generation Number
0.8353575,0.4954763,0
0.65343696,0.6565513,1
0.64497024,0.5096508,2
0.5425026,0.29601502,3
0.62410766,0.68039876,4
0.90080005,0.6955476,5
0.59776497,0.37765443,6
0.7354529,0.5320223,7
0.6763981,0.44955802,8
0.76473826,0.59309417,9
0.7206936,0.5045856,10
0.6247921,0.5018847,11
0.5332282,0.5385746,12
0.6480651,0.48316672,13
0.5828935,0.571659,14
0.9225549,0.609257,15
0.7722439,0.5418412,16
0.6376886,0.50148016,17
0.59425926,0.5606248,18
0.8593598,0.51641613,19
0.7758364,0.51789075,20
0.783842,0.484614,21
0.877739,0.51017547,22
0.8067408,0.54737335,23
0.85327846,0.5342367,24
0.71104515,0.53987443,25
