gen,max fit,avg fit,med fit
0,0.36383244,0.45704782,0.4900341033935547
1,0.8212974,0.2617408,0.15883082151412964
2,0.92008567,0.35441542,0.2555548846721649
3,0.8894058,0.41269368,0.24658536911010742
4,0.6629618,0.7867594,0.763644814491272
5,0.6379932,0.5898164,0.4942612648010254
6,0.421889,0.6455678,0.41046860814094543
7,0.29884893,0.5824124,0.6017518639564514
8,0.86510825,0.52215445,0.29192715883255005
9,0.4596083,0.3915681,0.3204452395439148
10,0.6917293,0.49883118,0.4437252879142761
11,0.611742,0.63961655,0.6521392464637756
12,0.7069456,0.5965499,0.45383167266845703
13,0.5344466,0.6663959,0.6890984177589417
14,0.5655801,0.72680795,0.8731350898742676
15,0.37588024,0.6763898,0.6928904056549072
16,0.34924856,0.48591062,0.35266172885894775
17,0.6561853,0.79041034,0.8793355822563171
18,0.54981834,0.5063198,0.32352423667907715
19,0.8268499,0.38442612,0.11823467910289764
20,0.7827662,0.13747795,8.990017813630402E-4
21,0.6920923,0.63837934,0.8099291920661926
22,0.7082396,0.4901892,0.3271726369857788
23,0.78333217,0.41404465,0.32610490918159485
24,0.43162912,0.5372663,0.4111034870147705
25,0.39402446,0.696427,0.691555380821228
26,0.8659302,0.4883253,0.47259053587913513
27,0.74416786,0.5819492,0.4556083083152771
28,0.49233133,0.57155114,0.4455788731575012
29,0.6170626,0.4240837,0.3176259696483612
30,0.41984698,0.4792065,0.44386720657348633
31,0.73420286,0.5749057,0.5588923692703247
32,0.70621455,0.5633134,0.5546308159828186
33,0.81407034,0.52066773,0.5927709341049194
34,1.1175109,0.42574137,0.2836039960384369
35,1.278779,0.35893747,0.2230597585439682
36,0.5978717,0.52232826,0.3460419178009033
37,0.7220165,0.67961484,0.7413221597671509
38,1.3319995,0.52076715,0.4421575665473938
39,0.22595409,0.62189764,0.2273692488670349
40,0.9580774,0.3410697,0.17917323112487793
41,1.1439477,0.4442981,0.1967100203037262
42,0.65699434,0.46942636,0.537326455116272
43,1.4176594,0.3573489,0.20570418238639832
44,1.0162026,0.6995332,0.8480463027954102
45,0.5755165,0.617024,0.6180354952812195
46,1.1134331,0.6168243,0.5664008855819702
47,0.7920128,0.70247084,0.7265640497207642
48,0.78874826,0.5698426,0.5297549366950989
49,1.1137073,0.17751533,0.0866776704788208
50,0.5830441,0.5379115,0.37300586700439453
51,1.4645531,0.6659899,0.9074185490608215
52,1.1600835,0.76374716,0.7666189670562744
53,0.8851684,0.743742,0.7630804181098938
54,0.8620742,0.75098026,0.7585600018501282
55,1.2374172,0.2629233,0.18170490860939026
56,1.0712961,0.78149414,0.39902010560035706
57,0.76403713,0.52177083,0.549003005027771
58,0.8685946,0.47954232,0.3724229633808136
59,1.371947,0.64971215,0.6882670521736145
60,0.7710296,0.66212445,0.5504506826400757
61,1.05629,0.5160474,0.4613572359085083
62,0.81079906,0.6163854,0.6775282621383667
63,0.8850008,0.27261332,0.21319551765918732
64,0.57402503,0.6289766,0.6663442850112915
65,0.29114804,0.47710755,0.32265061140060425
66,0.93761116,0.6841979,0.5861132144927979
67,1.5018791,0.26197857,0.20366407930850983
68,1.3450364,0.3762596,0.14263370633125305
69,1.5094993,0.6283473,0.6311987638473511
70,1.2352692,0.4533642,0.24987521767616272
71,1.0350075,0.44411847,0.2858990430831909
72,1.6080061,0.57963616,0.6427609920501709
73,2.7616215,0.63433635,0.8744728565216064
74,1.9984784,0.87964785,0.7441741228103638
75,2.6035943,0.4915661,0.26528680324554443
76,2.257585,0.47148123,0.4732484221458435
77,2.533016,0.82843304,0.8340601921081543
78,1.054387,0.58932424,0.4283888041973114
79,1.539669,0.65405405,0.6978684663772583
80,0.9672051,0.508793,0.07801233977079391
81,2.3095345,0.5007603,0.23177193105220795
82,1.3528513,0.5506506,0.5503082871437073
83,1.7741106,0.7031804,0.8430376052856445
84,2.7680604,0.50123286,0.359714150428772
85,2.226645,0.3435109,0.21798789501190186
86,2.3886685,0.5555656,0.601510763168335
87,1.5954614,0.66113794,0.7802563309669495
88,2.973814,0.47927335,0.5623036623001099
89,3.0866992,0.39288306,0.24100281298160553
