gen,max fit,avg fit,med fit
0,0.56135267,0.12926705,0.08230247348546982
1,0.6989408,0.25567052,0.20341475307941437
2,0.89009535,0.203564,0.12376278638839722
3,0.7883263,0.42480415,0.25566837191581726
4,1.0767958,0.31170383,0.27102476358413696
5,1.6301379,0.314219,0.26967141032218933
6,2.029175,0.35192573,0.3647458553314209
7,2.5820827,0.33170784,0.2981089949607849
8,2.3831143,0.28869426,0.17433395981788635
9,1.925913,0.3396418,0.3311724066734314
10,1.7048787,0.39290357,0.24375121295452118
11,1.2800543,0.2712596,0.22822730243206024
12,2.691649,0.5006501,0.4111596941947937
13,1.8522395,0.31689832,0.14696140587329865
14,3.4725437,0.26470345,0.214498370885849
15,2.9648955,0.2788579,0.2504325807094574
16,1.833576,0.27542353,0.1908295750617981
17,2.93744,0.32187706,0.17323537170886993
18,3.1489406,0.4657707,0.42150190472602844
19,2.727151,0.26589695,0.19029618799686432
20,2.1028538,0.46027425,0.48802506923675537
21,2.9570737,0.52104926,0.5800347328186035
22,2.1376128,0.37360448,0.40196070075035095
23,2.1728358,0.4654546,0.40315884351730347
24,2.2738464,0.28415948,0.19609738886356354
25,0.9953883,0.4559258,0.48153385519981384
26,2.755461,0.3865126,0.3492753207683563
27,2.2678692,0.48179224,0.5117344260215759
28,2.8232222,0.4395207,0.4356953799724579
29,2.331526,0.50806314,0.6356346607208252
30,2.2064462,0.56873244,0.6026111841201782
31,2.954272,0.42021582,0.41513776779174805
32,3.3256714,0.58446676,0.77773517370224
33,1.6899894,0.38045368,0.23339611291885376
34,2.235701,0.5474531,0.5610325336456299
35,1.8092388,0.32608154,0.1905016005039215
36,2.4938087,0.4820484,0.45856523513793945
37,1.9932419,0.30491984,0.29952701926231384
38,2.946052,0.24804986,0.12206068634986877
39,2.7063985,0.49812853,0.41676849126815796
40,2.666741,0.51402533,0.5858060121536255
41,2.9233894,0.371128,0.32701247930526733
42,1.9243232,0.4069135,0.31276729702949524
43,3.3488214,0.42860207,0.438110888004303
44,2.1684494,0.48576108,0.4890277683734894
45,4.174819,0.43647456,0.30739468336105347
